Date,St,R,Mo,Es,N,FileName
20190706,T01,129.703916858021,305441.915170034,0.0055408737289004,70,20190706_T01_N_70.mat
20190706,T02,159.495679485731,164729.513176692,0.0505743189706762,38,20190706_T02_N_38.mat
20201024,T01_X,118.32712,138191.88617361,0.0301977697398916,33,20201024_T01_X_N_33.mat
20221112,T01,120.397906492141,693481.506259853,0.0034504110417321,36,20221112_T01_N_36.mat
20190706,T02,87.2169040639378,704582.540355303,0.023799721238308,42,20190706_T02_N_42.mat
20190706,T02,90.7281799454117,331495.298524628,0.0113433941964324,71,20190706_T02_N_71.mat
20190706,T01,88.1018119777209,2258161.2006872,0.169327980763353,29,20190706_T01_N_29.mat
20221112,T01,86.9593415123221,801332.881316033,0.035618069412577,55,20221112_T01_N_55.mat
20190706,T03,59.2937801373627,498206.080749265,0.0245480431280886,6,20190706_T03_N_06.mat
20201024,T01_Z,139.45927,512122.367327978,0.295359500871217,27,20201024_T01_Z_N_27.mat
20221112,T03,180.266755156976,240382.964173975,0.0042886917567683,1,20221112_T03_N_01.mat
20201024,T01_Y,146.20785,640387.618890338,0.460102910413057,36,20201024_T01_Y_N_36.mat
20190706,T02,148.507525630283,375054.541805202,0.0205472353608477,47,20190706_T02_N_47.mat
20190706,T02,98.8505112880839,296311.176702972,0.0146701101877216,80,20190706_T02_N_80.mat
20190706,T01,134.193505966857,679869.862819659,0.0066161399568597,7,20190706_T01_N_07.mat
20231216,T53,105.441144863156,8079000.01976836,4.09458821737674,30,20231216_T53_N_30.mat
20221112,T03,142.842089006437,508254.661928249,0.0008689483496459,59,20221112_T03_N_59.mat
20190706,T01,146.423586431949,266740.521307836,0.0078881009730607,74,20190706_T01_N_74.mat
20221112,T04,149.426606505547,289012.509459153,0.0255517852135322,58,20221112_T04_N_58.mat
20231216,T53,86.6403269978195,1327518.99040196,0.137021490731783,29,20231216_T53_N_29.mat
20221112,T01,190.53890753075,960986.215148842,0.0010185706236385,17,20221112_T01_N_17.mat
20190706,T02,70.286287351916,238770.657241115,0.0035566957242288,52,20190706_T02_N_52.mat
20190706,T03,124.923469357159,746107.118636394,0.111256126613761,47,20190706_T03_N_47.mat
20190706,T03,43.0579088313904,671545.219131554,0.0363967450408602,33,20190706_T03_N_33.mat
20201024,T01_Y,130.89717,169850.067979945,0.0467170605863463,25,20201024_T01_Y_N_25.mat
20201024,T01_Y,192.10553,1635336.91256455,1.51617771905758,43,20201024_T01_Y_N_43.mat
20190706,T02,64.4548574290797,782210.364433332,0.0817936497973709,39,20190706_T02_N_39.mat
20221112,T01,211.046278627788,917092.456908705,0.0031432903314911,19,20221112_T01_N_19.mat
20231118,T02,157.623105720577,964070.042027105,2.31581036300745,32,20231118_T02_N_32.mat
20231118,T01,197.096265626725,957562.440734239,0.0695216499264868,13,20231118_T01_N_13.mat
20190706,T01,136.809449068762,371680.726239326,0.0050877324617426,42,20190706_T01_N_42.mat
20221112,T03,189.199969963243,648273.019840675,0.0160335708543619,57,20221112_T03_N_57.mat
20190706,T02,97.7542694496622,346163.625820248,0.0115850341397861,15,20190706_T02_N_15.mat
20201024,T01_Z,96.920703,169297.001464505,0.0214006776623114,29,20201024_T01_Z_N_29.mat
20190706,T01,189.815132079341,493240.297725139,0.018989652640082,57,20190706_T01_N_57.mat
20201024,T01_X,83.680816,325053.735474364,0.100907683239961,21,20201024_T01_X_N_21.mat
20201024,T01_Y,116.50243,239042.756800749,0.0597992260431186,2,20201024_T01_Y_N_02.mat
20231118,T02,184.234333002837,895074.683512017,0.0530617854668411,6,20231118_T02_N_06.mat
20190706,T01,153.492951987668,291095.255549065,0.009697902897012,25,20190706_T01_N_25.mat
20201024,T01_Y,96.443898,136000.916309894,0.0166171862638417,6,20201024_T01_Y_N_06.mat
20231118,T02,196.883725729173,1908527.95833878,0.0856036310541099,52,20231118_T02_N_52.mat
20201024,T01_Z,149.5409,3988275.40669325,15.7477489053774,42,20201024_T01_Z_N_42.mat
20190706,T01,126.047191962836,206683.051745885,0.0027868664942529,52,20190706_T01_N_52.mat
20221112,T04,261.454726094989,801466.18550532,0.0054199862452923,47,20221112_T04_N_47.mat
20231118,T10,162.188162330054,197928.284399641,0.0211578125812157,18,20231118_T10_N_18.mat
20231118,T02,192.706729143017,1178651.97246625,0.024708838424003,38,20231118_T02_N_38.mat
20190706,T03,164.372044262233,2533610.19023536,0.553326733775338,77,20190706_T03_N_77.mat
20231216,T53,102.596231413322,2425995.08400451,0.268135025084837,25,20231216_T53_N_25.mat
20221112,T04,211.479969963236,1027443.49600169,0.0081863816199993,57,20221112_T04_N_57.mat
20231118,T10,217.451143938127,4205817.30817722,0.230501405476958,12,20231118_T10_N_12.mat
20201024,T01_Y,145.58107,422680.883768703,0.0959909170315161,7,20201024_T01_Y_N_07.mat
20190706,T01,171.752187941802,442438.886795939,0.0384266289307795,19,20190706_T01_N_19.mat
20231118,T01,153.72979517322,940257.390665774,0.0009038147895031,23,20231118_T01_N_23.mat
20201024,T01_X,155.47609,1624808.65903484,0.0492552270083457,38,20201024_T01_X_N_38.mat
20190706,T01,167.329553692202,402259.218968812,0.0146445181508837,84,20190706_T01_N_84.mat
20190706,T01,137.644617088867,266870.265057227,0.0023162424645022,62,20190706_T01_N_62.mat
20190706,T03,46.2786910673953,720610.101470076,0.128494140327434,85,20190706_T03_N_85.mat
20201024,T01_X,97.934471,182381.860656712,0.026566145995719,4,20201024_T01_X_N_04.mat
20201024,T01_Y,112.7533,450465.963592412,0.143375061066975,13,20201024_T01_Y_N_13.mat
20231216,T53,105.156249912326,1196119.36529415,0.0782173050049593,13,20231216_T53_N_13.mat
20190706,T01,164.746551075615,686536.836861075,0.0183747296476438,13,20190706_T01_N_13.mat
20190706,T02,80.565997784096,146098.305866246,0.0052306896280069,89,20190706_T02_N_89.mat
20221112,T01,212.746583204628,1812238.49204541,0.163541042799764,51,20221112_T01_N_51.mat
20221112,T03,206.808358886618,432316.595569713,0.0013181318740122,62,20221112_T03_N_62.mat
20190706,T03,88.960324564836,3023412.09248965,0.306140264426413,36,20190706_T03_N_36.mat
20221112,T03,119.662324649915,200410.698975256,0.0048916509110716,9,20221112_T03_N_09.mat
20231118,T01,95.9465576453902,23362434.9445553,5.03743208873387,56,20231118_T01_N_56.mat
20221112,T03,182.702272114923,526245.302204123,0.0005643585645872,23,20221112_T03_N_23.mat
20201024,T01_Z,191.79856,279225.013163026,0.0584066196215089,12,20201024_T01_Z_N_12.mat
20221112,T04,261.454726094989,636627.220323645,0.0099773939286059,42,20221112_T04_N_42.mat
20221112,T03,180.586284577957,493967.734977291,0.0064783454176418,56,20221112_T03_N_56.mat
20190706,T02,65.906593131124,281572.506631796,0.007318679606399,83,20190706_T02_N_83.mat
20221112,T04,172.539361293455,333715.895408827,0.0005762907867474,44,20221112_T04_N_44.mat
20231216,T53,101.843003944747,1816434.44446202,0.186595743347815,15,20231216_T53_N_15.mat
20190706,T02,81.3682471134318,570780.650745838,0.0238284271426876,70,20190706_T02_N_70.mat
20190706,T03,93.5012994298603,1044774.23273407,0.124080406423394,61,20190706_T03_N_61.mat
20221112,T04,379.595636657283,4632441.23675745,0.23874082224858,16,20221112_T04_N_16.mat
20231118,T03,277.162351297935,84961651.2113601,2.52181963849012,46,20231118_T03_N_46.mat
20190706,T01,123.261631608849,214073.994740015,0.0045515812886666,75,20190706_T01_N_75.mat
20190706,T02,85.4613544793983,2075693.89455175,0.049750650957191,20,20190706_T02_N_20.mat
20221112,T03,158.675826871664,554703.976760791,0.0049238069032295,6,20221112_T03_N_06.mat
20231216,T53,95.4031786878943,1267715.42724815,0.0667777574158746,39,20231216_T53_N_39.mat
20190706,T02,194.603692995939,793377.190328987,0.0900145221567136,11,20190706_T02_N_11.mat
20190706,T02,104.748087006731,3685618.77767984,0.243644591477305,21,20190706_T02_N_21.mat
20231118,T01,208.474626571198,403219.857513563,0.0070873401367907,51,20231118_T01_N_51.mat
20190706,T01,148.952404680368,2462328.90231002,0.144450976523148,93,20190706_T01_N_93.mat
20221112,T04,142.848228351015,219464.139092735,0.0011422753571574,41,20221112_T04_N_41.mat
20190706,T01,121.037888748183,172956.882994398,0.0025427255151708,90,20190706_T01_N_90.mat
20201024,T01_Y,126.56489,456498.266654858,0.0499529649603793,11,20201024_T01_Y_N_11.mat
20231216,T53,102.317941559602,2006776.18455455,0.032077368240214,1,20231216_T53_N_01.mat
20231118,T10,206.932356097349,4002368.85000596,0.0999141728125332,19,20231118_T10_N_19.mat
20231118,T10,143.377125093231,2202767.06875615,0.0109748020817785,36,20231118_T10_N_36.mat
20221112,T03,204.199208064894,1829659.40063267,0.264857330216724,53,20221112_T03_N_53.mat
20221112,T03,143.856606505564,182354.565489904,0.0022120932090649,58,20221112_T03_N_58.mat
20190706,T02,120.9902869297,8109582.20142769,0.319297966658998,1,20190706_T02_N_01.mat
20190706,T01,180.359523270769,489287.330591743,0.0118304739743524,12,20190706_T01_N_12.mat
20201024,T01_Z,90.392512,135383.201174034,0.017790155538547,39,20201024_T01_Z_N_39.mat
20190706,T01,142.829328491043,511278.086670683,0.0093706040343594,44,20190706_T01_N_44.mat
20190706,T01,193.649881573878,629792.993555226,0.0145413997791917,43,20190706_T01_N_43.mat
20201024,T01_Y,97.934471,182381.860656712,0.026566145995719,4,20201024_T01_Y_N_04.mat
20190706,T02,99.9139640170201,313893.548815828,0.0114819307860681,74,20190706_T02_N_74.mat
20231118,T03,103.164504443146,630984.95413814,0.0538085692173999,38,20231118_T03_N_38.mat
20231118,T02,234.455623641234,28612075.436629,0.900274910715069,46,20231118_T02_N_46.mat
20231118,T01,205.983402059487,631423.780291689,0.587355051940758,61,20231118_T01_N_61.mat
20221112,T01,63.8365038908578,901459.924613947,0.0096604317529718,60,20221112_T01_N_60.mat
20190706,T02,71.1093464905381,259121.719988185,0.0184869080748387,85,20190706_T02_N_85.mat
20221112,T04,206.863588413839,317813.807458078,0.0056565026545824,28,20221112_T04_N_28.mat
20221112,T04,234.62727166845,360468.399075023,0.0040943352664092,37,20221112_T04_N_37.mat
20190706,T02,125.690628532248,535904.830181129,0.0316781129174211,84,20190706_T02_N_84.mat
20221112,T04,184.681799830206,225378.666821832,0.0012762772222122,52,20221112_T04_N_52.mat
20231118,T02,196.142360180049,952928.03518199,0.0587878442625306,31,20231118_T02_N_31.mat
20231118,T10,203.199409447961,494778.874875886,0.0216403261818828,39,20231118_T10_N_39.mat
20190706,T03,65.0549584437074,1703441.84870069,0.529442195420059,70,20190706_T03_N_70.mat
20231118,T01,195.884532120329,1508303.88902993,0.0037365618603199,7,20231118_T01_N_07.mat
20201024,T01_Y,114.60952,284608.253971403,0.0482428626211829,10,20201024_T01_Y_N_10.mat
20221112,T03,238.56319538552,426417.420649012,0.0252601759689214,61,20221112_T03_N_61.mat
20190706,T01,109.450892675369,324420.61534563,0.004557288800316,16,20190706_T01_N_16.mat
20190706,T01,134.436838328786,1973314.91679195,0.030240340574866,4,20190706_T01_N_04.mat
20201024,T01_Z,131.8083,294025.531449557,0.187649223669704,19,20201024_T01_Z_N_19.mat
20190706,T03,114.022849434214,833935.051331646,0.102968803052498,69,20190706_T03_N_69.mat
20221112,T01,143.636929039051,643716.31982469,0.0011036410246783,15,20221112_T01_N_15.mat
20221112,T01,134.36727166845,1435050.54429706,0.208288704182206,37,20221112_T01_N_37.mat
20231118,T02,183.470868142602,3548589.99040272,0.0147225891664263,37,20231118_T02_N_37.mat
20190706,T03,24.1973786117407,7917293.1792726,0.345332617128288,35,20190706_T03_N_35.mat
20221112,T03,174.736882698335,262553.959682166,0.001089391318118,2,20221112_T03_N_02.mat
20221112,T01,279.335636657283,18442080.7352085,2.73670004209784,16,20221112_T01_N_16.mat
20221112,T04,296.296583204627,1143445.18650576,0.0044883358688615,35,20221112_T04_N_35.mat
