F	D
68.359375	-27.835040
78.125000	-28.653985
87.890625	-28.564279
97.656250	-28.689170
107.421875	-28.109726
117.187500	-28.646866
126.953125	-29.966788
136.718750	-28.104319
146.484375	-28.388241
156.250000	-27.978349
166.015625	-28.071659
175.781250	-27.796681
185.546875	-28.527924
195.312500	-27.937092
205.078125	-27.295157
214.843750	-27.264133
224.609375	-27.382508
234.375000	-27.259877
244.140625	-27.248511
253.906250	-27.228168
263.671875	-27.889526
273.437500	-28.537112
283.203125	-29.294433
292.968750	-28.583035
302.734375	-28.343734
312.500000	-29.141832
322.265625	-28.237535
332.031250	-28.243072
341.796875	-28.857632
351.562500	-28.692108
361.328125	-29.013219
371.093750	-29.793961
380.859375	-30.036635
390.625000	-28.160863
400.390625	-27.787553
410.156250	-28.070639
419.921875	-27.829876
429.687500	-27.958853
439.453125	-28.712437
449.218750	-28.562271
458.984375	-29.011321
468.750000	-29.289603
478.515625	-29.684311
488.281250	-30.265504
498.046875	-30.278960
507.812500	-30.527069
517.578125	-29.126517
527.343750	-29.208699
537.109375	-29.148724
546.875000	-28.487869
556.640625	-28.212133
566.406250	-28.380124
576.171875	-28.410365
585.937500	-28.564144
595.703125	-28.955331
605.468750	-29.912647
615.234375	-28.389776
625.000000	-28.851152
634.765625	-29.922335
644.531250	-29.777359
654.296875	-29.021041
664.062500	-29.441449
673.828125	-29.687890
683.593750	-30.504428
693.359375	-29.637805
703.125000	-30.137116
712.890625	-29.897806
722.656250	-29.783383
732.421875	-30.643977
742.187500	-29.941888
751.953125	-29.683522
761.718750	-31.029155
771.484375	-30.918413
781.250000	-29.794599
791.015625	-30.104123
800.781250	-29.633631
810.546875	-30.426359
820.312500	-29.754975
830.078125	-30.109570
839.843750	-31.689719
849.609375	-31.406917
859.375000	-30.976778
869.140625	-30.990221
878.906250	-30.850593
888.671875	-31.970775
898.437500	-31.585233
908.203125	-30.720446
917.968750	-30.725798
927.734375	-30.726293
937.500000	-31.085514
947.265625	-32.344322
957.031250	-31.344916
966.796875	-30.485548
976.562500	-30.709613
986.328125	-31.079073
996.093750	-31.493816
1005.859375	-31.759924
1015.625000	-31.655335
1025.390625	-32.603419
1035.156250	-31.080964
1044.921875	-31.113423
1054.687500	-30.911952
1064.453125	-30.973169
1074.218750	-31.228923
1083.984375	-31.192876
1093.750000	-31.191068
1103.515625	-31.556774
1113.281250	-31.638800
1123.046875	-31.987591
1132.812500	-32.134103
1142.578125	-31.584270
1152.343750	-31.327714
1162.109375	-30.908936
1171.875000	-31.033599
1181.640625	-31.139235
1191.406250	-30.886326
1201.171875	-31.577825
1210.937500	-32.757948
1220.703125	-30.928061
1230.468750	-31.166868
1240.234375	-32.163379
1250.000000	-32.120200
1259.765625	-32.687433
1269.531250	-32.143310
1279.296875	-32.580388
1289.062500	-32.045192
1298.828125	-32.849017
1308.593750	-31.799895
1318.359375	-31.354365
1328.125000	-32.583946
1337.890625	-32.296832
1347.656250	-31.763588
1357.421875	-32.180112
1367.187500	-32.108572
1376.953125	-31.682755
1386.718750	-31.715153
1396.484375	-32.196092
1406.250000	-31.708891
1416.015625	-31.530355
1425.781250	-31.596180
1435.546875	-31.822701
1445.312500	-31.516120
1455.078125	-31.962655
1464.843750	-31.872771
1474.609375	-33.169519
1484.375000	-32.794000
1494.140625	-32.725996
1503.906250	-33.211541
1513.671875	-35.127287
1523.437500	-32.287126
1533.203125	-33.544569
1542.968750	-33.520531
1552.734375	-32.356467
1562.500000	-33.402371
1572.265625	-32.759099
1582.031250	-32.291034
1591.796875	-32.585239
1601.562500	-32.683843
1611.328125	-34.471001
1621.093750	-33.088056
1630.859375	-34.065482
1640.625000	-32.912254
1650.390625	-33.931018
1660.156250	-33.815430
1669.921875	-32.208849
1679.687500	-32.325176
1689.453125	-32.947208
1699.218750	-33.173058
1708.984375	-33.525723
1718.750000	-32.930271
1728.515625	-33.592752
1738.281250	-33.838400
1748.046875	-33.956256
1757.812500	-33.904420
1767.578125	-33.746698
1777.343750	-33.986101
1787.109375	-33.571358
1796.875000	-34.065164
1806.640625	-34.721565
1816.406250	-33.746763
1826.171875	-33.913812
1835.937500	-33.568904
1845.703125	-34.396780
1855.468750	-35.074865
1865.234375	-35.291884
1875.000000	-35.413167
1884.765625	-35.699167
1894.531250	-36.091602
1904.296875	-35.055855
1914.062500	-34.594662
1923.828125	-34.934211
1933.593750	-35.793186
1943.359375	-34.693211
1953.125000	-35.982123
1962.890625	-35.358704
1972.656250	-34.767290
1982.421875	-34.956087
1992.187500	-34.826234
2001.953125	-35.138717
