F	D
68.359375	-29.135507
78.125000	-29.004843
87.890625	-29.597916
97.656250	-28.606168
107.421875	-29.243873
117.187500	-28.230442
126.953125	-29.212545
136.718750	-28.388466
146.484375	-28.734476
156.250000	-28.879794
166.015625	-28.013269
175.781250	-28.508986
185.546875	-28.348518
195.312500	-28.262259
205.078125	-28.520831
214.843750	-30.166752
224.609375	-28.753783
234.375000	-28.342195
244.140625	-28.061209
253.906250	-28.714125
263.671875	-28.244497
273.437500	-28.251568
283.203125	-28.302122
292.968750	-28.437640
302.734375	-28.107046
312.500000	-28.234143
322.265625	-28.445579
332.031250	-29.309674
341.796875	-29.724859
351.562500	-30.547019
361.328125	-30.707668
371.093750	-29.922202
380.859375	-29.800983
390.625000	-30.758647
400.390625	-30.399838
410.156250	-30.432482
419.921875	-29.524306
429.687500	-29.807948
439.453125	-29.852942
449.218750	-29.763971
458.984375	-29.946363
468.750000	-30.248080
478.515625	-30.017222
488.281250	-29.771096
498.046875	-30.229666
507.812500	-29.758418
517.578125	-30.151400
527.343750	-30.526144
537.109375	-29.922167
546.875000	-30.333324
556.640625	-30.546202
566.406250	-30.383608
576.171875	-31.154494
585.937500	-30.610987
595.703125	-31.218953
605.468750	-32.257215
615.234375	-31.755917
625.000000	-30.872403
634.765625	-30.158047
644.531250	-30.209177
654.296875	-30.344085
664.062500	-30.446883
673.828125	-30.742606
683.593750	-30.712208
693.359375	-30.353756
703.125000	-30.604958
712.890625	-30.994467
722.656250	-31.276932
732.421875	-33.252066
742.187500	-32.562050
751.953125	-32.069221
761.718750	-32.451901
771.484375	-34.518786
781.250000	-32.485161
791.015625	-33.550640
800.781250	-32.638036
810.546875	-33.658251
820.312500	-33.017734
830.078125	-32.815042
839.843750	-33.262176
849.609375	-32.642156
859.375000	-32.728624
869.140625	-34.537699
878.906250	-33.579347
888.671875	-33.943666
898.437500	-33.265792
908.203125	-33.893567
917.968750	-34.883446
927.734375	-34.572652
937.500000	-33.853511
947.265625	-33.252036
957.031250	-35.080925
966.796875	-33.348879
976.562500	-33.193214
986.328125	-33.684637
996.093750	-34.241303
1005.859375	-35.430842
1015.625000	-34.347017
1025.390625	-33.922154
1035.156250	-33.940887
1044.921875	-34.149686
1054.687500	-33.174537
1064.453125	-35.590784
1074.218750	-33.903297
1083.984375	-34.098537
1093.750000	-34.169979
1103.515625	-34.720695
1113.281250	-35.180957
1123.046875	-34.617410
1132.812500	-35.111944
1142.578125	-34.509271
1152.343750	-35.168585
1162.109375	-34.637924
1171.875000	-34.655595
1181.640625	-35.002608
1191.406250	-34.945886
1201.171875	-35.275373
1210.937500	-34.946901
1220.703125	-35.523689
1230.468750	-35.129275
1240.234375	-35.671061
1250.000000	-36.500032
1259.765625	-35.431078
1269.531250	-36.435302
1279.296875	-34.941904
1289.062500	-36.194903
1298.828125	-35.932448
1308.593750	-35.973474
1318.359375	-35.375434
1328.125000	-34.890474
1337.890625	-34.490189
1347.656250	-34.800397
1357.421875	-34.635375
1367.187500	-34.993059
1376.953125	-35.406971
1386.718750	-35.017519
1396.484375	-35.012102
1406.250000	-35.029590
1416.015625	-34.922988
1425.781250	-35.140026
1435.546875	-35.123761
1445.312500	-34.828192
1455.078125	-35.309640
1464.843750	-35.561892
1474.609375	-35.316500
1484.375000	-35.040511
1494.140625	-34.912898
1503.906250	-34.989058
1513.671875	-34.907476
1523.437500	-34.961197
1533.203125	-35.099963
1542.968750	-35.281474
1552.734375	-35.738685
1562.500000	-35.017568
1572.265625	-35.268948
1582.031250	-35.658433
1591.796875	-35.411354
1601.562500	-34.729568
1611.328125	-35.514803
1621.093750	-35.359685
1630.859375	-35.271318
1640.625000	-35.352676
1650.390625	-35.186339
1660.156250	-34.890559
1669.921875	-34.784456
1679.687500	-35.007559
1689.453125	-34.962251
1699.218750	-35.076668
1708.984375	-35.207864
1718.750000	-35.151925
1728.515625	-35.185020
1738.281250	-35.249977
1748.046875	-35.058398
1757.812500	-35.368892
1767.578125	-35.983015
1777.343750	-36.528348
1787.109375	-37.404089
1796.875000	-35.804617
1806.640625	-35.568715
1816.406250	-35.924424
1826.171875	-35.705494
1835.937500	-35.528450
1845.703125	-36.035915
1855.468750	-35.730199
1865.234375	-36.167142
1875.000000	-38.050512
1884.765625	-36.311015
1894.531250	-36.643424
1904.296875	-36.179561
1914.062500	-35.920877
1923.828125	-36.419353
1933.593750	-35.859915
1943.359375	-35.568117
1953.125000	-35.315611
1962.890625	-35.442230
1972.656250	-35.678583
1982.421875	-35.979831
1992.187500	-36.429570
2001.953125	-37.519795
