F	D
68.359375	-29.495129
78.125000	-30.155536
87.890625	-28.445492
97.656250	-27.944003
107.421875	-28.558066
117.187500	-28.689024
126.953125	-28.549995
136.718750	-28.508646
146.484375	-28.422660
156.250000	-28.761642
166.015625	-28.861647
175.781250	-28.638975
185.546875	-29.537848
195.312500	-28.802670
205.078125	-29.955266
214.843750	-28.913102
224.609375	-30.565479
234.375000	-29.080735
244.140625	-28.315287
253.906250	-28.229770
263.671875	-31.641401
273.437500	-29.333864
283.203125	-28.520536
292.968750	-30.810964
302.734375	-29.043815
312.500000	-29.402217
322.265625	-29.235920
332.031250	-29.404517
341.796875	-29.501482
351.562500	-31.214382
361.328125	-31.138354
371.093750	-30.503870
380.859375	-29.298748
390.625000	-29.596746
400.390625	-29.802677
410.156250	-30.567889
419.921875	-30.331917
429.687500	-30.393632
439.453125	-30.701220
449.218750	-30.297689
458.984375	-31.781120
468.750000	-30.880684
478.515625	-32.951843
488.281250	-30.771985
498.046875	-30.517269
507.812500	-30.685152
517.578125	-31.168095
527.343750	-31.162695
537.109375	-31.051142
546.875000	-30.562389
556.640625	-30.211551
566.406250	-30.924356
576.171875	-30.512108
585.937500	-30.475206
595.703125	-31.120385
605.468750	-31.537162
615.234375	-32.286198
625.000000	-31.527608
634.765625	-31.277169
644.531250	-30.983720
654.296875	-30.498671
664.062500	-31.100662
673.828125	-31.194898
683.593750	-31.399855
693.359375	-30.682791
703.125000	-30.988716
712.890625	-31.432602
722.656250	-32.037889
732.421875	-32.056327
742.187500	-32.824726
751.953125	-32.097451
761.718750	-32.035649
771.484375	-32.167647
781.250000	-32.740808
791.015625	-32.194605
800.781250	-32.978704
810.546875	-32.569951
820.312500	-33.457382
830.078125	-33.913198
839.843750	-33.600341
849.609375	-33.367836
859.375000	-34.141043
869.140625	-34.105306
878.906250	-33.116567
888.671875	-32.949914
898.437500	-34.164621
908.203125	-33.085831
917.968750	-33.964075
927.734375	-33.971851
937.500000	-34.676256
947.265625	-33.293565
957.031250	-35.145211
966.796875	-33.758937
976.562500	-33.781993
986.328125	-33.434744
996.093750	-34.228840
1005.859375	-34.444387
1015.625000	-33.963367
1025.390625	-34.986459
1035.156250	-33.422836
1044.921875	-33.526555
1054.687500	-33.828807
1064.453125	-34.631713
1074.218750	-34.475377
1083.984375	-33.496182
1093.750000	-33.346475
1103.515625	-33.241989
1113.281250	-32.897359
1123.046875	-33.224299
1132.812500	-34.088117
1142.578125	-34.211012
1152.343750	-34.695234
1162.109375	-34.312585
1171.875000	-33.971782
1181.640625	-34.829916
1191.406250	-34.257492
1201.171875	-34.168907
1210.937500	-34.541988
1220.703125	-34.410479
1230.468750	-34.113558
1240.234375	-34.650922
1250.000000	-34.969807
1259.765625	-34.735058
1269.531250	-35.369707
1279.296875	-34.675097
1289.062500	-35.416605
1298.828125	-34.442353
1308.593750	-34.933499
1318.359375	-35.057324
1328.125000	-35.159866
1337.890625	-35.231454
1347.656250	-36.196791
1357.421875	-35.506895
1367.187500	-35.506290
1376.953125	-35.000404
1386.718750	-35.526861
1396.484375	-35.254521
1406.250000	-37.156933
1416.015625	-35.300405
1425.781250	-35.114930
1435.546875	-36.619723
1445.312500	-36.428661
1455.078125	-36.282912
1464.843750	-36.289523
1474.609375	-35.519353
1484.375000	-36.611649
1494.140625	-36.261117
1503.906250	-36.134834
1513.671875	-35.323907
1523.437500	-35.991225
1533.203125	-35.616102
1542.968750	-36.476596
1552.734375	-35.793157
1562.500000	-35.557760
1572.265625	-35.954580
1582.031250	-37.820803
1591.796875	-35.818115
1601.562500	-36.826201
1611.328125	-38.477062
1621.093750	-35.399544
1630.859375	-36.977101
1640.625000	-35.888836
1650.390625	-36.658234
1660.156250	-35.724582
1669.921875	-35.617543
1679.687500	-36.149749
1689.453125	-35.996175
1699.218750	-36.325205
1708.984375	-37.077966
1718.750000	-38.371482
1728.515625	-36.594020
1738.281250	-35.822703
1748.046875	-36.792936
1757.812500	-36.281793
1767.578125	-36.572995
1777.343750	-36.684410
1787.109375	-36.498032
1796.875000	-36.242271
1806.640625	-37.285671
1816.406250	-37.096434
1826.171875	-37.627162
1835.937500	-36.311359
1845.703125	-37.530291
1855.468750	-36.809635
1865.234375	-36.663143
1875.000000	-37.265936
1884.765625	-36.434163
1894.531250	-36.687139
1904.296875	-37.678712
1914.062500	-36.866985
1923.828125	-37.437511
1933.593750	-37.269269
1943.359375	-37.120300
1953.125000	-37.382860
1962.890625	-37.406625
1972.656250	-37.151414
1982.421875	-37.169778
1992.187500	-37.622472
2001.953125	-37.836395
