F	D
68.359375	-29.743330
78.125000	-28.515258
87.890625	-28.494116
97.656250	-28.105867
107.421875	-29.975631
117.187500	-28.046266
126.953125	-29.004117
136.718750	-29.190752
146.484375	-31.241639
156.250000	-29.190744
166.015625	-29.407272
175.781250	-29.551646
185.546875	-28.832205
195.312500	-29.261258
205.078125	-31.490030
214.843750	-29.283613
224.609375	-29.064906
234.375000	-29.752038
244.140625	-29.425962
253.906250	-31.404825
263.671875	-29.918399
273.437500	-29.689549
283.203125	-30.621820
292.968750	-30.401943
302.734375	-30.668237
312.500000	-30.490820
322.265625	-30.775522
332.031250	-30.333950
341.796875	-30.727737
351.562500	-30.885366
361.328125	-30.114167
371.093750	-30.372355
380.859375	-30.958202
390.625000	-30.933485
400.390625	-30.485953
410.156250	-31.990472
419.921875	-30.171820
429.687500	-30.480551
439.453125	-30.498896
449.218750	-31.535480
458.984375	-30.598966
468.750000	-30.694608
478.515625	-30.392428
488.281250	-29.934691
498.046875	-30.240436
507.812500	-30.557825
517.578125	-31.079611
527.343750	-30.313598
537.109375	-30.515922
546.875000	-31.403338
556.640625	-31.130477
566.406250	-30.678096
576.171875	-30.304900
585.937500	-30.426077
595.703125	-30.172220
605.468750	-30.158658
615.234375	-29.483322
625.000000	-29.538431
634.765625	-30.508898
644.531250	-30.033960
654.296875	-29.934447
664.062500	-29.805340
673.828125	-30.076179
683.593750	-30.170827
693.359375	-31.119920
703.125000	-30.378693
712.890625	-30.518612
722.656250	-31.961446
732.421875	-30.845462
742.187500	-31.155118
751.953125	-30.605831
761.718750	-32.900698
771.484375	-30.332388
781.250000	-30.507862
791.015625	-30.687149
800.781250	-32.284883
810.546875	-30.359560
820.312500	-30.190884
830.078125	-30.214303
839.843750	-30.338390
849.609375	-30.990489
859.375000	-30.081441
869.140625	-29.958796
878.906250	-30.634593
888.671875	-30.347759
898.437500	-31.130394
908.203125	-30.649428
917.968750	-30.793705
927.734375	-31.091703
937.500000	-31.236111
947.265625	-30.478817
957.031250	-30.680011
966.796875	-32.166391
976.562500	-30.633756
986.328125	-30.351544
996.093750	-30.394175
1005.859375	-30.444824
1015.625000	-30.700297
1025.390625	-30.657264
1035.156250	-31.156545
1044.921875	-32.380996
1054.687500	-30.663020
1064.453125	-30.806843
1074.218750	-30.865821
1083.984375	-30.611554
1093.750000	-30.542421
1103.515625	-30.823132
1113.281250	-31.667263
1123.046875	-30.923943
1132.812500	-31.590101
1142.578125	-30.835935
1152.343750	-30.742119
1162.109375	-32.854024
1171.875000	-31.446597
1181.640625	-30.447558
1191.406250	-30.902979
1201.171875	-31.631541
1210.937500	-31.209595
1220.703125	-30.261383
1230.468750	-30.737839
1240.234375	-30.896973
1250.000000	-30.467656
1259.765625	-30.529960
1269.531250	-31.545166
1279.296875	-30.798053
1289.062500	-30.990567
1298.828125	-30.702124
1308.593750	-30.810956
1318.359375	-31.010448
1328.125000	-31.208582
1337.890625	-32.427336
1347.656250	-32.194760
1357.421875	-31.905567
1367.187500	-31.946157
1376.953125	-32.060858
1386.718750	-31.836451
1396.484375	-31.576722
1406.250000	-31.969170
1416.015625	-32.302937
1425.781250	-33.173990
1435.546875	-31.641235
1445.312500	-30.897267
1455.078125	-31.346846
1464.843750	-31.960439
1474.609375	-32.161947
1484.375000	-31.831928
1494.140625	-32.050441
1503.906250	-32.612440
1513.671875	-32.463603
1523.437500	-32.190988
1533.203125	-32.155451
1542.968750	-31.665685
1552.734375	-31.435295
1562.500000	-31.084074
1572.265625	-31.154841
1582.031250	-31.619521
1591.796875	-32.397999
1601.562500	-31.492706
1611.328125	-31.491805
1621.093750	-33.841140
1630.859375	-32.557308
1640.625000	-31.479425
1650.390625	-30.810713
1660.156250	-31.122605
1669.921875	-33.812872
1679.687500	-33.156258
1689.453125	-32.803675
1699.218750	-32.426541
1708.984375	-32.139164
1718.750000	-32.737626
1728.515625	-32.937225
1738.281250	-32.766971
1748.046875	-36.013751
1757.812500	-32.571686
1767.578125	-32.953429
1777.343750	-33.480824
1787.109375	-32.867934
1796.875000	-32.801377
1806.640625	-34.205194
1816.406250	-35.387885
1826.171875	-35.257071
1835.937500	-34.714104
1845.703125	-34.650022
1855.468750	-34.032866
1865.234375	-33.925224
1875.000000	-33.305334
1884.765625	-33.627455
1894.531250	-34.000832
1904.296875	-34.229994
1914.062500	-34.362127
1923.828125	-33.554221
1933.593750	-35.801871
1943.359375	-34.503704
1953.125000	-34.356012
1962.890625	-34.459309
1972.656250	-35.208223
1982.421875	-34.587301
1992.187500	-33.981983
2001.953125	-34.289236
