Date;St;R;Mo;Es;N;FileName;test_Mo;test_Es
20190706;T01;161.017596856154;7038183.30115322;0.272380404844181;1;20190706_T01_N_01.mat;6623649.096396915;0.07401314981248056
20190706;T01;144.123283550392;4915531.33732737;0.132523314907873;2;20190706_T01_N_02.mat;6075099.170311516;0.03552724483557418
20190706;T01;184.576982105392;5392778.07386529;0.274719097183047;3;20190706_T01_N_03.mat;2589266.2570217056;0.0338448331411902
20190706;T01;134.436838328786;1973314.91679195;0.030240340574866;4;20190706_T01_N_04.mat;1301555.5780722825;0.02161764066084353
20190706;T01;135.547960499218;1199259.99502022;0.0269536759233559;5;20190706_T01_N_05.mat;441310.2353067702;0.00440870791923398
20190706;T01;133.636689641647;928959.553997491;0.008790089356206;6;20190706_T01_N_06.mat;596094.7354395995;0.004555755224253517
20190706;T01;134.193505966857;679869.862819659;0.0066161399568597;7;20190706_T01_N_07.mat;575819.4461322888;0.00445870931127705
20190706;T01;109.366647218317;622689.879658474;0.0188937424607499;8;20190706_T01_N_08.mat;778103.3137341746;0.015664923442581895
20190706;T01;129.636880009729;314013.424775531;0.0044926156401486;9;20190706_T01_N_09.mat;519591.85762717464;0.010624410726706316
20190706;T01;133.925638601866;621138.84439662;0.0246148022763406;10;20190706_T01_N_10.mat;537400.5232901935;0.013662686322280538
20190706;T01;230.822053858936;768757.612518654;0.0238069597326863;11;20190706_T01_N_11.mat;949151.6204478197;0.025004743116717992
20190706;T01;180.359523270769;489287.330591743;0.0118304739743524;12;20190706_T01_N_12.mat;429227.8965800666;0.010173253211029208
20190706;T01;164.746551075615;686536.836861075;0.0183747296476438;13;20190706_T01_N_13.mat;888090.8104568679;0.020806054203712884
20190706;T01;100.648558750586;260857.78839181;0.00663422956791;14;20190706_T01_N_14.mat;250011.15695549347;0.005666147128633653
20190706;T01;135.858141064999;363069.871037949;0.0047980996242325;15;20190706_T01_N_15.mat;229917.9388743841;0.0017491695669333608
20190706;T01;109.450892675369;324420.61534563;0.004557288800316;16;20190706_T01_N_16.mat;492314.84316889616;0.002889725452064608
20190706;T01;320.450849793597;1142992.7776044;0.0365069276561639;17;20190706_T01_N_17.mat;1574298.4848430871;0.016581500056885353
20190706;T01;118.131641708157;206789.78071283;0.0038747011372607;18;20190706_T01_N_18.mat;294316.83677614335;0.0032058334881627584
20190706;T01;171.752187941802;442438.886795939;0.0384266289307795;19;20190706_T01_N_19.mat;335896.6134519763;0.006096158640725847
20190706;T01;129.324687262152;1331620.81722253;0.0242590356281974;20;20190706_T01_N_20.mat;2433706.472631192;0.05349561650836934
20190706;T01;145.361261860131;2835805.01105476;0.0900893452142441;21;20190706_T01_N_21.mat;7855102.267492974;0.5799666003066545
20190706;T01;127.432098961389;289192.761140052;0.0044684970919089;22;20190706_T01_N_22.mat;191714.82545302634;0.0016763508778638817
20190706;T01;137.549492740151;242616.863139943;0.0023197687248076;23;20190706_T01_N_23.mat;210028.541448632;0.001913649172757086
20190706;T01;135.936029565181;368838.043850204;0.006347279815745;24;20190706_T01_N_24.mat;325046.77907242585;0.0036802481875791615
20190706;T01;153.492951987668;291095.255549065;0.009697902897012;25;20190706_T01_N_25.mat;270673.7633671466;0.0077240529576440165
20190706;T01;173.960282344523;480840.65123739;0.0082929688024916;26;20190706_T01_N_26.mat;344473.4962480702;0.004294736080328188
20190706;T01;110.530823553223;187026.399407652;0.0018463831394324;27;20190706_T01_N_27.mat;231079.1857652976;0.0020153508826068747
20190706;T01;121.277601296845;142267.459956457;0.0016291812887403;28;20190706_T01_N_28.mat;203118.93143721757;0.0017773481932131612
20190706;T01;88.1018119777209;2258161.2006872;0.169327980763353;29;20190706_T01_N_29.mat;1027520.0268911844;0.03732656534670315
20190706;T01;152.779399454316;396496.19198172;0.0088547891426357;30;20190706_T01_N_30.mat;407974.0577790709;0.004928216381852646
20190706;T01;149.075733854466;524219.003191746;0.0098447530570087;31;20190706_T01_N_31.mat;552620.3624743045;0.009528385285129858
20190706;T01;481.708451466255;2213791.40638285;0.199434599334224;32;20190706_T01_N_32.mat;1856716.6371919638;0.10069142144030736
20190706;T01;110.496518579059;167454.223968673;0.0020048152012537;33;20190706_T01_N_33.mat;330611.43595567753;0.0039060709890670967
20190706;T01;165.66472051714;513429.024776564;0.0089105587341833;34;20190706_T01_N_34.mat;349092.3121302162;0.0033030162620048304
20190706;T01;106.349215708814;837269.927630006;0.0042405798284551;35;20190706_T01_N_35.mat;2388907.08018666;0.01565849108673692
20190706;T01;149.499159478176;1352438.66037437;0.0169027839916175;36;20190706_T01_N_36.mat;1349735.735511288;0.014639242043578663
20190706;T01;156.812927601742;283724.862205341;0.0140514224015146;37;20190706_T01_N_37.mat;450203.46801907074;0.016700721242368377
20190706;T01;194.249456088338;417393.936495374;0.0156501412321362;38;20190706_T01_N_38.mat;302964.20726203435;0.0064126794213976495
20190706;T01;114.488034868291;1065760.82045868;0.0406589747245201;39;20190706_T01_N_39.mat;405093.31432280067;0.008453621329399193
20190706;T01;120.368898796244;198841.379626619;0.0027556438855977;40;20190706_T01_N_40.mat;364226.36460382567;0.005707236674839306
20190706;T01;144.258639549754;416637.568619498;0.0561020040831805;41;20190706_T01_N_41.mat;361854.307234778;0.0034898592631288816
20190706;T01;136.809449068762;371680.726239326;0.0050877324617426;42;20190706_T01_N_42.mat;555462.9183668335;0.008813651595971646
20190706;T01;193.649881573878;629792.993555226;0.0145413997791917;43;20190706_T01_N_43.mat;718098.8671512246;0.016588487656159497
20190706;T01;142.829328491043;511278.086670683;0.0093706040343594;44;20190706_T01_N_44.mat;611884.8533045865;0.01064113765001514
20190706;T01;168.837272395386;370292.382166374;0.015883957607872;45;20190706_T01_N_45.mat;312524.6582221187;0.006731294237546745
20190706;T01;194.563281059302;699823.112328271;0.034988305120703;46;20190706_T01_N_46.mat;637994.7843771674;0.015211444697580975
20190706;T01;190.498649976395;450434.136203724;0.0363152305360214;47;20190706_T01_N_47.mat;335499.32950806577;0.003932834854798154
20190706;T01;147.797554135934;257637.301111407;0.0077524462380532;48;20190706_T01_N_48.mat;340435.80985273886;0.0071335711084566265
20190706;T01;136.686730723203;251174.963445571;0.0020338848160592;49;20190706_T01_N_49.mat;361497.4017710213;0.005305203314068016
20190706;T01;256.354323340849;790348.790486141;0.0269564635471747;50;20190706_T01_N_50.mat;573649.4325477761;0.011453836406641656
20190706;T01;150.674211685027;387528.056119358;0.0153000311150423;51;20190706_T01_N_51.mat;487464.2366467704;0.02586792936095461
20190706;T01;126.047191962836;206683.051745885;0.0027868664942529;52;20190706_T01_N_52.mat;360055.9870279459;0.0030908528299394213
20190706;T01;279.900428629747;1728652.00009273;0.108726018385709;53;20190706_T01_N_53.mat;1656866.3344145494;0.019341186069259584
20190706;T01;136.296126027858;397805.520284631;0.0162454144481823;54;20190706_T01_N_54.mat;396813.8486168354;0.010288958070341397
20190706;T01;134.48425077928;338904.161465751;0.0052012488749764;55;20190706_T01_N_55.mat;365124.30013356055;0.004095640946229977
20190706;T01;174.966145363192;1985681.84203456;0.704095950929957;56;20190706_T01_N_56.mat;3375884.614148809;0.3812373062348734
20190706;T01;189.815132079341;493240.297725139;0.018989652640082;57;20190706_T01_N_57.mat;581255.2202991586;0.013663197637415839
20190706;T01;207.681223913757;758397.616371268;0.0213028471114967;58;20190706_T01_N_58.mat;625081.3568951879;0.012585206023380254
20190706;T01;237.149550786642;723577.323072373;0.0212106721240922;59;20190706_T01_N_59.mat;1270610.657103848;0.011444832216878463
20190706;T01;141.640524149886;711867.599950435;0.0216027808997083;60;20190706_T01_N_60.mat;1369974.0400285306;0.10346733856625806
20190706;T01;158.703119411915;312196.067509561;0.0154199661839141;61;20190706_T01_N_61.mat;352989.981541791;0.01049911964595171
20190706;T01;137.644617088867;266870.265057227;0.0023162424645022;62;20190706_T01_N_62.mat;293047.25453469757;0.00326782284526335
20190706;T01;138.969528705998;246013.71596012;0.0053175894089209;63;20190706_T01_N_63.mat;353195.5092221584;0.0036554390181909482
20190706;T01;123.354938645102;227318.910861693;0.0018577305251016;64;20190706_T01_N_64.mat;249395.80697570936;0.0015306154085341715
20190706;T01;119.804435062971;154324.874182165;0.0008920172618791;65;20190706_T01_N_65.mat;228872.75367911224;0.002107798609366391
20190706;T01;122.34184328948;186345.353337864;0.002092754388951;66;20190706_T01_N_66.mat;256444.3774982678;0.002260899946230688
20190706;T01;145.518752517049;300373.398554443;0.0082884117326786;67;20190706_T01_N_67.mat;359527.8237358017;0.008504271074717476
20190706;T01;124.105145254136;133845.500625482;0.0012407811707006;68;20190706_T01_N_68.mat;278417.59513061715;0.0017714293225104794
20190706;T01;163.951192311301;291977.992127173;0.0050518469684262;69;20190706_T01_N_69.mat;280731.0799610154;0.0019434732993034694
20190706;T01;129.703916858021;305441.915170034;0.0055408737289004;70;20190706_T01_N_70.mat;461148.22810286016;0.015939208385909013
20190706;T01;139.548822632823;263431.303506362;0.0025784434508371;71;20190706_T01_N_71.mat;410147.9793031057;0.008676042215488199
20190706;T01;115.350731161577;149598.360054158;0.00157446713799;72;20190706_T01_N_72.mat;176614.90973741453;0.0013713517472878282
20190706;T01;129.456223225468;498267.544644511;0.0085719677156204;73;20190706_T01_N_73.mat;509392.1062863767;0.010754307928111622
20190706;T01;146.423586431949;266740.521307836;0.0078881009730607;74;20190706_T01_N_74.mat;286853.2031870802;0.004197680465571312
20190706;T01;123.261631608849;214073.994740015;0.0045515812886666;75;20190706_T01_N_75.mat;304050.566636114;0.003129350212477403
20190706;T01;189.949496673095;1007617.30010419;0.129253074793322;76;20190706_T01_N_76.mat;1314170.4610747525;0.16767025783947173
20190706;T01;219.600472674686;725493.500466102;0.0513190650517072;77;20190706_T01_N_77.mat;529837.859681001;0.010148676054566371
20190706;T01;138.996191246735;285974.391349819;0.0086245365936521;78;20190706_T01_N_78.mat;387186.34022821113;0.011627779417864527
20190706;T01;143.895843181445;315936.504762016;0.009130361981673;79;20190706_T01_N_79.mat;552679.5295153625;0.023806191367479704
20190706;T01;146.447122272565;274718.362866781;0.0065070742653892;80;20190706_T01_N_80.mat;373141.8158016207;0.00788879035817302
20190706;T01;134.305833090618;391705.885840591;0.0047535020499516;81;20190706_T01_N_81.mat;446230.42306973855;0.004521126906944256
20190706;T01;122.421738245143;206750.963463076;0.002072506303946;82;20190706_T01_N_82.mat;345468.3205574827;0.0033052051163963993
20190706;T01;116.473083067941;181087.766207068;0.0030741559661819;83;20190706_T01_N_83.mat;228258.67650903208;0.0028156691174647075
20190706;T01;167.329553692202;402259.218968812;0.0146445181508837;84;20190706_T01_N_84.mat;468837.42105024715;0.008969031147761848
20190706;T01;125.615661986519;193297.569970081;0.0032574096592826;85;20190706_T01_N_85.mat;568507.1352142988;0.008862528238491605
20190706;T01;152.779399454316;341913.814775469;0.0086695678087395;86;20190706_T01_N_86.mat;273650.55010472116;0.004382646152207278
20190706;T01;146.693926720527;305124.233914394;0.0111187767223498;87;20190706_T01_N_87.mat;350915.3374940538;0.006158739042344633
20190706;T01;293.272150615626;945347.3832224;0.0661661833541353;88;20190706_T01_N_88.mat;687660.4279485241;0.054163831157961057
20190706;T01;130.688676674557;210732.975638069;0.0020874301132143;89;20190706_T01_N_89.mat;298795.33207932435;0.0025101873945058504
20190706;T01;121.037888748183;172956.882994398;0.0025427255151708;90;20190706_T01_N_90.mat;298531.54546114616;0.003299530041352749
20190706;T01;120.050797948854;595387.179122886;0.0067375148358735;91;20190706_T01_N_91.mat;907541.377805745;0.010358464176345434
20190706;T01;140.387698649358;587090.106670306;0.011815323330244;92;20190706_T01_N_92.mat;711015.4558802708;0.012947081160740472
20190706;T01;148.952404680368;2462328.90231002;0.144450976523148;93;20190706_T01_N_93.mat;4940127.692861077;0.5986882596783007
20190706;T01;156.905423796193;428154.072316481;0.0065680125866044;94;20190706_T01_N_94.mat;635591.551779114;0.004686285246942714
20190706;T02;120.9902869297;8109582.20142769;0.319297966658998;1;20190706_T02_N_01.mat;4212949.645478388;0.07069308436956459
20190706;T02;96.1305314317295;6346445.30594196;0.164758449957339;2;20190706_T02_N_02.mat;2219240.4727066434;0.03204233337516866
20190706;T02;151.109708374857;6631931.34999515;0.294924407020527;3;20190706_T02_N_03.mat;1936005.3664773912;0.044173619984069
20190706;T02;86.1055780646074;958188.271506966;0.0872540249504047;4;20190706_T02_N_04.mat;1014350.0613698422;0.09956165303658839
20190706;T02;84.7387118588525;2047740.86550823;0.0271229790370259;5;20190706_T02_N_05.mat;521549.23687960726;0.009878468720938009
20190706;T02;82.3657175915921;648175.831522049;0.0076983428506148;6;20190706_T02_N_06.mat;429962.00076083955;0.005551065313817388
20190706;T02;79.7028456937196;477145.22119964;0.006285877801281;7;20190706_T02_N_07.mat;442713.2995660798;0.006202026554093824
20190706;T02;66.0764820747575;985732.212757592;0.0298735294025202;8;20190706_T02_N_08.mat;790883.1582746148;0.017490685859201913
20190706;T02;77.2531897636387;495187.522881219;0.0151604980865959;9;20190706_T02_N_09.mat;537718.7445795373;0.023942754896259705
20190706;T02;96.6688847505634;1027340.32321203;0.093947536930558;10;20190706_T02_N_10.mat;663588.6660063834;0.05720399537354033
20190706;T02;194.603692995939;793377.190328987;0.0900145221567136;11;20190706_T02_N_11.mat;1135434.7324397636;0.12276489736788232
20190706;T02;140.383497956345;407099.552507257;0.044029145634414;12;20190706_T02_N_12.mat;402587.5112915025;0.027760972033130948
20190706;T02;123.409012901449;1144049.5902386;0.0667392821834885;13;20190706_T02_N_13.mat;1265855.8131178475;0.16219737784760216
20190706;T02;46.8391501072568;373355.150518014;0.031711874627739;14;20190706_T02_N_14.mat;317675.3642776496;0.01905686848968035
20190706;T02;97.7542694496622;346163.625820248;0.0115850341397861;15;20190706_T02_N_15.mat;363928.2333517464;0.007043752462764002
