F	D
68.359375	-27.901782
78.125000	-27.704260
87.890625	-27.642123
97.656250	-27.743612
107.421875	-28.160176
117.187500	-27.132967
126.953125	-28.121726
136.718750	-27.450799
146.484375	-27.320543
156.250000	-27.008356
166.015625	-27.874574
175.781250	-27.665624
185.546875	-27.332226
195.312500	-27.440968
205.078125	-28.303141
214.843750	-28.648738
224.609375	-27.931204
234.375000	-27.931189
244.140625	-29.001588
253.906250	-28.203060
263.671875	-28.440936
273.437500	-27.990308
283.203125	-28.267147
292.968750	-28.590546
302.734375	-28.332656
312.500000	-28.875808
322.265625	-29.226816
332.031250	-28.894746
341.796875	-28.553643
351.562500	-27.746984
361.328125	-27.973570
371.093750	-28.423013
380.859375	-28.844068
390.625000	-28.877792
400.390625	-28.251214
410.156250	-28.337919
419.921875	-28.876340
429.687500	-29.094198
439.453125	-28.653389
449.218750	-28.127845
458.984375	-27.767064
468.750000	-28.007877
478.515625	-27.753059
488.281250	-27.758396
498.046875	-28.298844
507.812500	-28.232402
517.578125	-27.926944
527.343750	-27.855883
537.109375	-28.234846
546.875000	-28.875022
556.640625	-29.047306
566.406250	-28.964264
576.171875	-29.290724
585.937500	-28.065245
595.703125	-27.932512
605.468750	-28.226829
615.234375	-28.821442
625.000000	-34.078492
634.765625	-28.665202
644.531250	-28.320937
654.296875	-28.747679
664.062500	-28.803172
673.828125	-28.745795
683.593750	-28.773883
693.359375	-28.650362
703.125000	-28.252636
712.890625	-30.320804
722.656250	-28.566807
732.421875	-28.860788
742.187500	-28.918710
751.953125	-28.780881
761.718750	-28.387196
771.484375	-28.201021
781.250000	-28.689369
791.015625	-30.250473
800.781250	-29.817459
810.546875	-29.959634
820.312500	-29.161744
830.078125	-29.464060
839.843750	-29.163648
849.609375	-29.157076
859.375000	-29.760155
869.140625	-30.035671
878.906250	-30.050731
888.671875	-29.796000
898.437500	-29.187343
908.203125	-29.190358
917.968750	-29.067787
927.734375	-29.422905
937.500000	-29.820319
947.265625	-29.648651
957.031250	-30.047615
966.796875	-29.099548
976.562500	-29.366409
986.328125	-30.200453
996.093750	-30.619285
1005.859375	-30.250325
1015.625000	-31.397347
1025.390625	-30.582004
1035.156250	-30.043575
1044.921875	-31.721619
1054.687500	-30.870967
1064.453125	-31.040105
1074.218750	-29.947227
1083.984375	-29.512732
1093.750000	-30.261954
1103.515625	-31.163597
1113.281250	-30.148861
1123.046875	-29.913945
1132.812500	-30.167401
1142.578125	-30.403099
1152.343750	-30.165646
1162.109375	-30.207288
1171.875000	-31.123748
1181.640625	-31.403740
1191.406250	-32.826401
1201.171875	-31.000503
1210.937500	-30.278026
1220.703125	-30.165658
1230.468750	-29.954203
1240.234375	-29.966888
1250.000000	-30.151365
1259.765625	-30.196588
1269.531250	-30.713801
1279.296875	-31.354611
1289.062500	-30.466275
1298.828125	-29.907413
1308.593750	-29.459896
1318.359375	-29.351426
1328.125000	-30.278411
1337.890625	-30.573312
1347.656250	-30.922910
1357.421875	-30.886099
1367.187500	-30.747877
1376.953125	-30.868949
1386.718750	-31.094998
1396.484375	-32.193773
1406.250000	-31.572050
1416.015625	-31.209526
1425.781250	-31.181437
1435.546875	-31.350337
1445.312500	-31.842096
1455.078125	-32.540302
1464.843750	-31.626796
1474.609375	-31.719837
1484.375000	-31.895204
1494.140625	-31.656693
1503.906250	-31.622970
1513.671875	-31.853231
1523.437500	-32.234133
1533.203125	-33.392074
1542.968750	-32.130125
1552.734375	-31.824305
1562.500000	-31.957178
1572.265625	-31.972062
1582.031250	-31.979168
1591.796875	-33.277213
1601.562500	-32.508731
1611.328125	-31.929298
1621.093750	-32.139458
1630.859375	-31.831838
1640.625000	-31.670092
1650.390625	-32.475316
1660.156250	-32.272568
1669.921875	-31.924732
1679.687500	-32.761552
1689.453125	-32.948845
1699.218750	-32.991222
1708.984375	-33.234253
1718.750000	-33.536081
1728.515625	-33.213581
1738.281250	-32.560001
1748.046875	-31.862478
1757.812500	-31.835638
1767.578125	-32.089305
1777.343750	-32.571100
1787.109375	-32.964006
1796.875000	-32.986613
1806.640625	-33.010341
1816.406250	-32.588851
1826.171875	-32.581537
1835.937500	-32.618330
1845.703125	-32.608924
1855.468750	-32.697810
1865.234375	-32.849337
1875.000000	-33.550269
1884.765625	-33.847972
1894.531250	-33.235766
1904.296875	-33.054738
1914.062500	-33.146952
1923.828125	-32.298833
1933.593750	-32.399840
1943.359375	-33.615094
1953.125000	-32.421257
1962.890625	-33.027769
1972.656250	-33.139421
1982.421875	-33.022995
1992.187500	-33.082698
2001.953125	-32.432989
