F	D
68.359375	-26.895952
78.125000	-26.581131
87.890625	-29.013769
97.656250	-28.321269
107.421875	-26.612007
117.187500	-27.042752
126.953125	-26.445761
136.718750	-26.886348
146.484375	-27.581844
156.250000	-26.943324
166.015625	-27.365345
175.781250	-28.372601
185.546875	-27.338596
195.312500	-26.970795
205.078125	-27.010299
214.843750	-27.798125
224.609375	-27.987926
234.375000	-27.776810
244.140625	-28.219647
253.906250	-27.374381
263.671875	-26.547075
273.437500	-26.906286
283.203125	-27.088136
292.968750	-26.217944
302.734375	-27.228000
312.500000	-26.960975
322.265625	-28.292391
332.031250	-27.193437
341.796875	-27.820241
351.562500	-28.143790
361.328125	-27.487954
371.093750	-29.143510
380.859375	-30.163582
390.625000	-27.680222
400.390625	-27.364434
410.156250	-27.941997
419.921875	-27.856854
429.687500	-27.664029
439.453125	-28.652554
449.218750	-29.284553
458.984375	-27.949527
468.750000	-27.724555
478.515625	-28.208254
488.281250	-27.671457
498.046875	-27.738914
507.812500	-29.173733
517.578125	-28.236555
527.343750	-28.035646
537.109375	-30.825919
546.875000	-27.930927
556.640625	-28.811682
566.406250	-27.962012
576.171875	-27.385079
585.937500	-27.523861
595.703125	-28.102550
605.468750	-27.796325
615.234375	-28.219390
625.000000	-28.292883
634.765625	-29.703971
644.531250	-30.075740
654.296875	-30.478886
664.062500	-30.394154
673.828125	-29.492075
683.593750	-29.684009
693.359375	-30.446623
703.125000	-29.758003
712.890625	-29.527773
722.656250	-29.085126
732.421875	-30.118210
742.187500	-29.954641
751.953125	-29.327347
761.718750	-29.611425
771.484375	-30.940254
781.250000	-29.963048
791.015625	-30.463762
800.781250	-29.938744
810.546875	-30.207971
820.312500	-29.755891
830.078125	-29.381238
839.843750	-29.344239
849.609375	-29.365554
859.375000	-29.903890
869.140625	-29.591000
878.906250	-28.979455
888.671875	-28.826126
898.437500	-29.180699
908.203125	-29.474000
917.968750	-29.720511
927.734375	-31.459092
937.500000	-30.481465
947.265625	-30.546939
957.031250	-30.045077
966.796875	-31.110163
976.562500	-30.968037
986.328125	-30.785167
996.093750	-30.644300
1005.859375	-32.423192
1015.625000	-31.995699
1025.390625	-32.365213
1035.156250	-31.030050
1044.921875	-30.460239
1054.687500	-30.334590
1064.453125	-30.771555
1074.218750	-32.818208
1083.984375	-31.166110
1093.750000	-31.827671
1103.515625	-32.337284
1113.281250	-32.106536
1123.046875	-33.277751
1132.812500	-32.249570
1142.578125	-31.907867
1152.343750	-31.980668
1162.109375	-31.913263
1171.875000	-30.890474
1181.640625	-31.091888
1191.406250	-31.480992
1201.171875	-30.061058
1210.937500	-31.002448
1220.703125	-32.713540
1230.468750	-31.385547
1240.234375	-31.935146
1250.000000	-33.801516
1259.765625	-32.360866
1269.531250	-32.167274
1279.296875	-34.175342
1289.062500	-31.995449
1298.828125	-32.078578
1308.593750	-34.034553
1318.359375	-34.600935
1328.125000	-34.446140
1337.890625	-34.013639
1347.656250	-33.816531
1357.421875	-32.972846
1367.187500	-33.673329
1376.953125	-33.386088
1386.718750	-33.792054
1396.484375	-34.630844
1406.250000	-33.012005
1416.015625	-33.056248
1425.781250	-33.964688
1435.546875	-33.748922
1445.312500	-33.848626
1455.078125	-33.581171
1464.843750	-33.345601
1474.609375	-34.680123
1484.375000	-33.019064
1494.140625	-33.177732
1503.906250	-35.865982
1513.671875	-33.414964
1523.437500	-33.127317
1533.203125	-33.182105
1542.968750	-33.140713
1552.734375	-33.463122
1562.500000	-32.960959
1572.265625	-34.149700
1582.031250	-33.165638
1591.796875	-32.864549
1601.562500	-32.380916
1611.328125	-32.310669
1621.093750	-32.668806
1630.859375	-32.419897
1640.625000	-32.209585
1650.390625	-32.063469
1660.156250	-32.872461
1669.921875	-32.147041
1679.687500	-31.947036
1689.453125	-31.979339
1699.218750	-32.471701
1708.984375	-31.614780
1718.750000	-31.874697
1728.515625	-32.371746
1738.281250	-32.461336
1748.046875	-33.050737
1757.812500	-34.152960
1767.578125	-34.201703
1777.343750	-32.902223
1787.109375	-32.698351
1796.875000	-33.591155
1806.640625	-33.958659
1816.406250	-33.034007
1826.171875	-33.331948
1835.937500	-33.950691
1845.703125	-33.539800
1855.468750	-33.720142
1865.234375	-34.344888
1875.000000	-33.527596
1884.765625	-33.963633
1894.531250	-33.743711
1904.296875	-33.789724
1914.062500	-34.547481
1923.828125	-34.362719
1933.593750	-34.739126
1943.359375	-35.003332
1953.125000	-35.008076
1962.890625	-34.297329
1972.656250	-34.413887
1982.421875	-34.739614
1992.187500	-34.773221
2001.953125	-34.531791
