F	D
68.359375	-28.428777
78.125000	-29.318320
87.890625	-28.889634
97.656250	-28.455326
107.421875	-27.546517
117.187500	-27.809244
126.953125	-28.302149
136.718750	-29.538501
146.484375	-28.635887
156.250000	-28.703294
166.015625	-28.952827
175.781250	-29.525111
185.546875	-28.444418
195.312500	-29.251020
205.078125	-29.598302
214.843750	-30.304246
224.609375	-30.087520
234.375000	-29.275639
244.140625	-29.904100
253.906250	-30.130423
263.671875	-29.949100
273.437500	-29.757684
283.203125	-29.552978
292.968750	-30.131412
302.734375	-29.238562
312.500000	-30.881135
322.265625	-29.576615
332.031250	-30.471506
341.796875	-30.685119
351.562500	-30.794143
361.328125	-29.868190
371.093750	-29.971079
380.859375	-30.147508
390.625000	-29.763985
400.390625	-30.144023
410.156250	-30.531530
419.921875	-29.597059
429.687500	-30.404079
439.453125	-31.623426
449.218750	-30.173119
458.984375	-29.280971
468.750000	-29.510122
478.515625	-29.589517
488.281250	-30.479147
498.046875	-30.048752
507.812500	-29.831813
517.578125	-29.907873
527.343750	-30.056958
537.109375	-29.688485
546.875000	-30.329494
556.640625	-31.057697
566.406250	-30.084291
576.171875	-28.997055
585.937500	-29.515014
595.703125	-29.095905
605.468750	-29.394737
615.234375	-29.238914
625.000000	-28.792167
634.765625	-29.417345
644.531250	-29.946087
654.296875	-29.905030
664.062500	-30.112218
673.828125	-30.893250
683.593750	-30.199083
693.359375	-31.616652
703.125000	-30.132934
712.890625	-30.477654
722.656250	-29.703352
732.421875	-29.979765
742.187500	-29.450484
751.953125	-29.705127
761.718750	-30.147528
771.484375	-29.455197
781.250000	-30.693867
791.015625	-29.843539
800.781250	-29.522267
810.546875	-30.440700
820.312500	-29.756270
830.078125	-29.515948
839.843750	-29.641626
849.609375	-29.450152
859.375000	-29.367511
869.140625	-30.645425
878.906250	-30.437809
888.671875	-30.584068
898.437500	-29.671571
908.203125	-29.579880
917.968750	-29.653454
927.734375	-30.786022
937.500000	-30.927511
947.265625	-29.920962
957.031250	-31.436741
966.796875	-30.820747
976.562500	-30.598110
986.328125	-30.103830
996.093750	-29.580594
1005.859375	-29.642312
1015.625000	-30.152081
1025.390625	-29.937851
1035.156250	-30.077095
1044.921875	-29.860890
1054.687500	-29.764083
1064.453125	-29.949934
1074.218750	-30.962259
1083.984375	-30.352748
1093.750000	-30.354625
1103.515625	-30.206968
1113.281250	-30.344603
1123.046875	-31.227226
1132.812500	-30.816738
1142.578125	-31.250278
1152.343750	-30.161509
1162.109375	-29.607570
1171.875000	-29.695622
1181.640625	-29.968789
1191.406250	-29.766515
1201.171875	-29.736548
1210.937500	-29.955160
1220.703125	-30.929864
1230.468750	-29.877546
1240.234375	-30.106232
1250.000000	-30.622862
1259.765625	-30.697250
1269.531250	-30.681185
1279.296875	-31.692198
1289.062500	-31.537959
1298.828125	-30.650623
1308.593750	-30.488877
1318.359375	-30.550872
1328.125000	-31.134084
1337.890625	-30.377276
1347.656250	-30.354742
1357.421875	-31.048674
1367.187500	-31.012894
1376.953125	-31.137580
1386.718750	-30.461473
1396.484375	-30.727667
1406.250000	-32.029191
1416.015625	-31.020916
1425.781250	-30.861053
1435.546875	-31.761429
1445.312500	-31.598008
1455.078125	-32.622191
1464.843750	-32.014384
1474.609375	-30.840799
1484.375000	-30.395444
1494.140625	-30.775557
1503.906250	-30.901802
1513.671875	-30.601589
1523.437500	-31.135508
1533.203125	-32.072550
1542.968750	-31.591095
1552.734375	-30.640493
1562.500000	-30.622254
1572.265625	-31.896423
1582.031250	-30.652637
1591.796875	-31.033921
1601.562500	-31.935169
1611.328125	-31.171676
1621.093750	-31.000154
1630.859375	-32.632909
1640.625000	-32.411470
1650.390625	-32.077667
1660.156250	-31.604747
1669.921875	-30.852512
1679.687500	-30.470543
1689.453125	-31.223350
1699.218750	-32.259559
1708.984375	-32.278699
1718.750000	-31.824202
1728.515625	-30.987392
1738.281250	-31.100954
1748.046875	-32.692206
1757.812500	-32.258839
1767.578125	-31.734105
1777.343750	-32.153767
1787.109375	-31.892223
1796.875000	-31.992765
1806.640625	-32.439759
1816.406250	-34.420128
1826.171875	-32.602655
1835.937500	-33.135094
1845.703125	-34.124460
1855.468750	-33.249560
1865.234375	-33.344012
1875.000000	-33.079611
1884.765625	-33.134968
1894.531250	-33.007156
1904.296875	-33.326952
1914.062500	-33.359556
1923.828125	-33.078217
1933.593750	-32.766848
1943.359375	-32.759065
1953.125000	-33.535745
1962.890625	-33.913584
1972.656250	-33.512867
1982.421875	-33.037065
1992.187500	-32.853189
2001.953125	-33.687007
