F	D
68.359375	-27.387662
78.125000	-27.523217
87.890625	-28.983689
97.656250	-29.066043
107.421875	-27.737521
117.187500	-27.511962
126.953125	-27.849773
136.718750	-27.394328
146.484375	-28.169742
156.250000	-27.945448
166.015625	-27.521803
175.781250	-27.388074
185.546875	-27.235624
195.312500	-27.232589
205.078125	-27.231306
214.843750	-27.371779
224.609375	-27.810430
234.375000	-28.760288
244.140625	-27.972236
253.906250	-27.969153
263.671875	-27.636710
273.437500	-28.072730
283.203125	-28.071290
292.968750	-28.382071
302.734375	-28.278910
312.500000	-28.987293
322.265625	-28.565193
332.031250	-29.958829
341.796875	-29.385433
351.562500	-28.850322
361.328125	-29.047610
371.093750	-28.329463
380.859375	-28.558253
390.625000	-28.510879
400.390625	-28.953234
410.156250	-29.110962
419.921875	-28.527478
429.687500	-28.672834
439.453125	-28.220188
449.218750	-27.627509
458.984375	-27.672546
468.750000	-28.186470
478.515625	-28.766492
488.281250	-28.981615
498.046875	-28.030957
507.812500	-27.940276
517.578125	-28.514089
527.343750	-29.144240
537.109375	-28.753807
546.875000	-28.742759
556.640625	-28.836355
566.406250	-28.830777
576.171875	-30.615252
585.937500	-29.980148
595.703125	-29.145059
605.468750	-28.415856
615.234375	-28.281711
625.000000	-28.382990
634.765625	-28.124063
644.531250	-28.443559
654.296875	-28.522438
664.062500	-28.713416
673.828125	-29.035621
683.593750	-29.205469
693.359375	-28.272728
703.125000	-28.126725
712.890625	-28.055254
722.656250	-28.235505
732.421875	-28.417025
742.187500	-28.935652
751.953125	-30.152231
761.718750	-30.228197
771.484375	-29.258780
781.250000	-29.722029
791.015625	-29.945691
800.781250	-29.285042
810.546875	-29.057939
820.312500	-28.949753
830.078125	-28.856772
839.843750	-28.823038
849.609375	-29.145248
859.375000	-29.870178
869.140625	-30.015910
878.906250	-29.046219
888.671875	-28.699517
898.437500	-28.820956
908.203125	-28.929722
917.968750	-29.268481
927.734375	-29.133494
937.500000	-29.346917
947.265625	-30.063073
957.031250	-29.649049
966.796875	-29.655961
976.562500	-29.663399
986.328125	-30.075137
996.093750	-29.400902
1005.859375	-29.071663
1015.625000	-29.243585
1025.390625	-29.897006
1035.156250	-29.875000
1044.921875	-29.447470
1054.687500	-29.709018
1064.453125	-30.184391
1074.218750	-30.558198
1083.984375	-29.832945
1093.750000	-30.135157
1103.515625	-30.909543
1113.281250	-29.980403
1123.046875	-29.689954
1132.812500	-29.880702
1142.578125	-29.965245
1152.343750	-29.865768
1162.109375	-30.716073
1171.875000	-29.708237
1181.640625	-29.333321
1191.406250	-29.379288
1201.171875	-30.325487
1210.937500	-29.990639
1220.703125	-29.250737
1230.468750	-29.048323
1240.234375	-29.181054
1250.000000	-29.450518
1259.765625	-30.268750
1269.531250	-30.289259
1279.296875	-31.345085
1289.062500	-29.506014
1298.828125	-29.208152
1308.593750	-29.286265
1318.359375	-30.529168
1328.125000	-30.943983
1337.890625	-30.671456
1347.656250	-30.946868
1357.421875	-31.254115
1367.187500	-30.688197
1376.953125	-31.274148
1386.718750	-31.965546
1396.484375	-30.415598
1406.250000	-30.366738
1416.015625	-30.577453
1425.781250	-30.512520
1435.546875	-30.949162
1445.312500	-32.696020
1455.078125	-31.229257
1464.843750	-30.752287
1474.609375	-30.406628
1484.375000	-30.532376
1494.140625	-30.897833
1503.906250	-31.644224
1513.671875	-31.355598
1523.437500	-30.581199
1533.203125	-30.559938
1542.968750	-30.821146
1552.734375	-31.034731
1562.500000	-31.313472
1572.265625	-32.338519
1582.031250	-30.799430
1591.796875	-30.855402
1601.562500	-31.383777
1611.328125	-31.648748
1621.093750	-31.154961
1630.859375	-31.174262
1640.625000	-30.942407
1650.390625	-31.273803
1660.156250	-32.185233
1669.921875	-31.537256
1679.687500	-31.711966
1689.453125	-32.609524
1699.218750	-33.551411
1708.984375	-32.554895
1718.750000	-32.750337
1728.515625	-31.733478
1738.281250	-31.154967
1748.046875	-31.056162
1757.812500	-31.948369
1767.578125	-31.928068
1777.343750	-33.953886
1787.109375	-31.552381
1796.875000	-31.351517
1806.640625	-31.466412
1816.406250	-31.732011
1826.171875	-31.587504
1835.937500	-32.236063
1845.703125	-32.735013
1855.468750	-31.957689
1865.234375	-31.957969
1875.000000	-31.948340
1884.765625	-31.807712
1894.531250	-32.018412
1904.296875	-32.193257
1914.062500	-31.536087
1923.828125	-31.277589
1933.593750	-31.204013
1943.359375	-31.387481
1953.125000	-31.505647
1962.890625	-31.230826
1972.656250	-32.189152
1982.421875	-32.554741
1992.187500	-30.985017
2001.953125	-30.766064
