F	D
68.359375	-27.640446
78.125000	-28.203850
87.890625	-27.440590
97.656250	-27.279845
107.421875	-27.212114
117.187500	-27.756553
126.953125	-26.500739
136.718750	-26.314451
146.484375	-27.492910
156.250000	-27.528908
166.015625	-28.351950
175.781250	-29.086027
185.546875	-26.873524
195.312500	-27.026376
205.078125	-27.472146
214.843750	-27.724598
224.609375	-27.712437
234.375000	-27.816358
244.140625	-26.890603
253.906250	-26.201523
263.671875	-26.182304
273.437500	-25.307769
283.203125	-25.552076
292.968750	-25.820421
302.734375	-25.686227
312.500000	-25.577781
322.265625	-25.684373
332.031250	-25.879948
341.796875	-26.504303
351.562500	-26.831312
361.328125	-26.596617
371.093750	-26.841040
380.859375	-26.797740
390.625000	-27.031286
400.390625	-27.904842
410.156250	-26.980592
419.921875	-29.293460
429.687500	-27.341746
439.453125	-27.775111
449.218750	-28.282966
458.984375	-27.655141
468.750000	-27.821415
478.515625	-27.787611
488.281250	-28.427745
498.046875	-28.198921
507.812500	-27.454220
517.578125	-28.076907
527.343750	-28.112172
537.109375	-27.773838
546.875000	-28.912251
556.640625	-27.989179
566.406250	-27.745633
576.171875	-27.550882
585.937500	-27.167156
595.703125	-27.641301
605.468750	-28.204765
615.234375	-27.984867
625.000000	-28.029039
634.765625	-28.319566
644.531250	-28.774491
654.296875	-29.198491
664.062500	-31.125005
673.828125	-30.453656
683.593750	-30.076571
693.359375	-30.094113
703.125000	-29.990893
712.890625	-29.653191
722.656250	-29.430886
732.421875	-29.721132
742.187500	-30.035604
751.953125	-30.238670
761.718750	-30.889078
771.484375	-31.216300
781.250000	-30.573130
791.015625	-30.821377
800.781250	-33.265624
810.546875	-31.590965
820.312500	-30.942620
830.078125	-30.121219
839.843750	-30.859955
849.609375	-30.949012
859.375000	-30.261016
869.140625	-30.997932
878.906250	-31.091921
888.671875	-30.688020
898.437500	-30.826896
908.203125	-31.353329
917.968750	-30.862099
927.734375	-31.169542
937.500000	-33.217060
947.265625	-31.566307
957.031250	-31.621966
966.796875	-32.493465
976.562500	-31.219064
986.328125	-31.224707
996.093750	-30.830206
1005.859375	-30.578455
1015.625000	-31.312427
1025.390625	-32.809762
1035.156250	-32.143013
1044.921875	-31.209163
1054.687500	-31.446965
1064.453125	-33.417706
1074.218750	-31.938731
1083.984375	-31.503972
1093.750000	-31.380199
1103.515625	-31.826534
1113.281250	-32.058044
1123.046875	-31.565957
1132.812500	-31.706910
1142.578125	-32.169990
1152.343750	-32.268408
1162.109375	-31.959830
1171.875000	-32.230317
1181.640625	-32.687360
1191.406250	-33.838693
1201.171875	-31.847811
1210.937500	-32.581701
1220.703125	-32.755687
1230.468750	-32.763113
1240.234375	-32.397584
1250.000000	-33.613017
1259.765625	-32.820617
1269.531250	-33.694247
1279.296875	-32.245602
1289.062500	-33.289149
1298.828125	-32.935319
1308.593750	-33.519879
1318.359375	-33.252632
1328.125000	-32.959034
1337.890625	-34.413903
1347.656250	-32.596011
1357.421875	-32.435876
1367.187500	-33.722068
1376.953125	-32.905973
1386.718750	-32.761393
1396.484375	-32.802693
1406.250000	-33.662261
1416.015625	-33.234841
1425.781250	-33.795982
1435.546875	-33.556680
1445.312500	-34.914417
1455.078125	-34.235636
1464.843750	-34.313818
1474.609375	-33.380605
1484.375000	-33.292231
1494.140625	-33.863875
1503.906250	-33.627087
1513.671875	-34.155495
1523.437500	-33.835685
1533.203125	-33.765055
1542.968750	-34.324187
1552.734375	-34.735876
1562.500000	-35.104091
1572.265625	-35.101129
1582.031250	-35.062187
1591.796875	-34.190698
1601.562500	-34.003126
1611.328125	-34.817447
1621.093750	-33.902649
1630.859375	-34.377644
1640.625000	-34.399979
1650.390625	-34.603172
1660.156250	-35.648041
1669.921875	-34.462099
1679.687500	-35.972551
1689.453125	-35.749419
1699.218750	-36.773876
1708.984375	-34.664348
1718.750000	-35.003669
1728.515625	-34.861035
1738.281250	-34.105133
1748.046875	-34.860289
1757.812500	-34.584873
1767.578125	-35.197965
1777.343750	-34.637281
1787.109375	-35.720590
1796.875000	-35.260227
1806.640625	-35.237280
1816.406250	-35.216193
1826.171875	-34.617340
1835.937500	-35.695343
1845.703125	-35.059141
1855.468750	-35.213264
1865.234375	-35.305866
1875.000000	-35.291931
1884.765625	-36.421750
1894.531250	-36.421410
1904.296875	-35.186536
1914.062500	-35.795344
1923.828125	-35.887414
1933.593750	-35.613886
1943.359375	-35.645417
1953.125000	-35.770804
1962.890625	-36.623655
1972.656250	-34.985959
1982.421875	-36.185035
1992.187500	-36.104772
2001.953125	-35.943567
