F	D
68.359375	-25.959199
78.125000	-25.471353
87.890625	-25.703680
97.656250	-25.663031
107.421875	-25.392404
117.187500	-25.202682
126.953125	-26.094883
136.718750	-25.362851
146.484375	-25.217828
156.250000	-25.877786
166.015625	-27.566174
175.781250	-26.035022
185.546875	-25.476610
195.312500	-26.118057
205.078125	-25.439571
214.843750	-25.590566
224.609375	-26.292023
234.375000	-26.815043
244.140625	-27.290276
253.906250	-26.972938
263.671875	-26.487040
273.437500	-27.230628
283.203125	-26.814249
292.968750	-26.201460
302.734375	-26.500678
312.500000	-26.639522
322.265625	-26.188509
332.031250	-26.858951
341.796875	-27.515187
351.562500	-28.889714
361.328125	-28.807748
371.093750	-28.512246
380.859375	-27.467499
390.625000	-28.358117
400.390625	-27.727203
410.156250	-27.605251
419.921875	-27.995560
429.687500	-27.660219
439.453125	-27.521555
449.218750	-29.100582
458.984375	-27.798227
468.750000	-27.981370
478.515625	-29.140087
488.281250	-27.615580
498.046875	-28.032255
507.812500	-29.047909
517.578125	-27.587942
527.343750	-27.289890
537.109375	-27.403256
546.875000	-28.506885
556.640625	-28.862134
566.406250	-28.523826
576.171875	-28.296827
585.937500	-28.000112
595.703125	-28.846698
605.468750	-28.655815
615.234375	-28.423895
625.000000	-28.857309
634.765625	-29.641976
644.531250	-28.914888
654.296875	-28.621950
664.062500	-28.844402
673.828125	-28.737483
683.593750	-28.681135
693.359375	-28.940940
703.125000	-29.736220
712.890625	-29.144548
722.656250	-29.265743
732.421875	-28.758750
742.187500	-28.196771
751.953125	-28.164173
761.718750	-28.146247
771.484375	-30.183945
781.250000	-28.688950
791.015625	-28.771690
800.781250	-28.964569
810.546875	-29.140099
820.312500	-30.309259
830.078125	-29.889628
839.843750	-30.019587
849.609375	-30.013858
859.375000	-30.500490
869.140625	-30.672987
878.906250	-30.002328
888.671875	-29.936282
898.437500	-29.969853
908.203125	-30.045388
917.968750	-29.657544
927.734375	-29.709454
937.500000	-30.339676
947.265625	-30.998356
957.031250	-31.118139
966.796875	-31.051868
976.562500	-30.329458
986.328125	-29.671526
996.093750	-29.635630
1005.859375	-29.214931
1015.625000	-29.182038
1025.390625	-29.465291
1035.156250	-29.855086
1044.921875	-30.536733
1054.687500	-30.445129
1064.453125	-30.819209
1074.218750	-31.521393
1083.984375	-31.369735
1093.750000	-31.423575
1103.515625	-30.330510
1113.281250	-29.790655
1123.046875	-29.567620
1132.812500	-29.564725
1142.578125	-30.202725
1152.343750	-30.477982
1162.109375	-31.176828
1171.875000	-31.272237
1181.640625	-31.019643
1191.406250	-30.712077
1201.171875	-30.986274
1210.937500	-31.473716
1220.703125	-33.788434
1230.468750	-31.669860
1240.234375	-31.933105
1250.000000	-31.385586
1259.765625	-31.453878
1269.531250	-32.571578
1279.296875	-32.325848
1289.062500	-32.249837
1298.828125	-32.297705
1308.593750	-31.827673
1318.359375	-32.073035
1328.125000	-32.104212
1337.890625	-32.364394
1347.656250	-32.336809
1357.421875	-32.020600
1367.187500	-32.900748
1376.953125	-31.888521
1386.718750	-31.843741
1396.484375	-31.722649
1406.250000	-31.705022
1416.015625	-32.231106
1425.781250	-33.027909
1435.546875	-35.219773
1445.312500	-32.919253
1455.078125	-32.947418
1464.843750	-32.527079
1474.609375	-32.524046
1484.375000	-32.546350
1494.140625	-32.880310
1503.906250	-32.988290
1513.671875	-32.906376
1523.437500	-32.802966
1533.203125	-33.513113
1542.968750	-33.188220
1552.734375	-33.130560
1562.500000	-33.186598
1572.265625	-33.740493
1582.031250	-34.628441
1591.796875	-34.944798
1601.562500	-34.062696
1611.328125	-34.951594
1621.093750	-34.908126
1630.859375	-35.098457
1640.625000	-34.635665
1650.390625	-34.933491
1660.156250	-34.331358
1669.921875	-33.839389
1679.687500	-35.300104
1689.453125	-35.743967
1699.218750	-34.508698
1708.984375	-35.616036
1718.750000	-35.552130
1728.515625	-35.404166
1738.281250	-34.433232
1748.046875	-34.807709
1757.812500	-34.937893
1767.578125	-34.636806
1777.343750	-35.476151
1787.109375	-34.712421
1796.875000	-35.939943
1806.640625	-35.527146
1816.406250	-35.071068
1826.171875	-35.321410
1835.937500	-37.017279
1845.703125	-35.249171
1855.468750	-35.138796
1865.234375	-35.435784
1875.000000	-36.197091
1884.765625	-35.500909
1894.531250	-35.207397
1904.296875	-36.682255
1914.062500	-35.420396
1923.828125	-36.582267
1933.593750	-35.894899
1943.359375	-35.798912
1953.125000	-35.698084
1962.890625	-36.567377
1972.656250	-36.139247
1982.421875	-36.043065
1992.187500	-35.682258
2001.953125	-36.150272
