F	D
68.359375	-26.686637
78.125000	-27.347971
87.890625	-26.734391
97.656250	-26.733615
107.421875	-26.139393
117.187500	-26.015722
126.953125	-26.305883
136.718750	-26.486040
146.484375	-26.443416
156.250000	-26.340938
166.015625	-27.641974
175.781250	-26.845237
185.546875	-26.313647
195.312500	-26.573656
205.078125	-27.497765
214.843750	-26.848848
224.609375	-26.781470
234.375000	-29.039728
244.140625	-28.342710
253.906250	-28.625059
263.671875	-27.883761
273.437500	-28.226488
283.203125	-27.798227
292.968750	-28.295160
302.734375	-26.852061
312.500000	-27.350193
322.265625	-31.356511
332.031250	-28.535642
341.796875	-27.397214
351.562500	-27.405172
361.328125	-27.568143
371.093750	-27.051953
380.859375	-27.059364
390.625000	-27.644793
400.390625	-27.849515
410.156250	-27.217366
419.921875	-26.981176
429.687500	-27.633174
439.453125	-28.976682
449.218750	-27.953183
458.984375	-28.506161
468.750000	-28.221708
478.515625	-29.701886
488.281250	-28.815948
498.046875	-28.080115
507.812500	-28.287859
517.578125	-29.674675
527.343750	-28.709708
537.109375	-29.418083
546.875000	-29.319981
556.640625	-29.393003
566.406250	-29.935900
576.171875	-27.945882
585.937500	-28.365848
595.703125	-28.854154
605.468750	-29.867101
615.234375	-27.898198
625.000000	-28.655812
634.765625	-29.141313
644.531250	-28.069238
654.296875	-29.022241
664.062500	-28.741540
673.828125	-28.617629
683.593750	-27.508264
693.359375	-26.882995
703.125000	-27.938719
712.890625	-28.719777
722.656250	-28.230829
732.421875	-28.150884
742.187500	-28.900712
751.953125	-28.506251
761.718750	-27.996060
771.484375	-28.564013
781.250000	-29.423205
791.015625	-29.680873
800.781250	-28.393610
810.546875	-28.840486
820.312500	-30.051049
830.078125	-28.992947
839.843750	-28.375686
849.609375	-28.333953
859.375000	-30.012690
869.140625	-29.258147
878.906250	-29.146789
888.671875	-29.498182
898.437500	-30.420576
908.203125	-30.870657
917.968750	-29.513701
927.734375	-30.933615
937.500000	-31.354418
947.265625	-29.476929
957.031250	-28.643957
966.796875	-29.134797
976.562500	-30.535589
986.328125	-30.653565
996.093750	-29.065583
1005.859375	-29.525833
1015.625000	-31.185409
1025.390625	-29.910150
1035.156250	-30.665949
1044.921875	-30.504337
1054.687500	-30.987555
1064.453125	-29.249439
1074.218750	-28.595741
1083.984375	-29.443710
1093.750000	-31.100771
1103.515625	-29.387682
1113.281250	-28.799731
1123.046875	-29.634596
1132.812500	-31.727318
1142.578125	-29.852524
1152.343750	-29.711544
1162.109375	-29.553554
1171.875000	-31.969769
1181.640625	-30.443487
1191.406250	-29.484499
1201.171875	-29.972400
1210.937500	-30.267462
1220.703125	-30.594592
1230.468750	-29.818315
1240.234375	-30.221600
1250.000000	-31.306175
1259.765625	-30.125424
1269.531250	-31.230513
1279.296875	-29.862404
1289.062500	-30.282263
1298.828125	-30.579166
1308.593750	-30.692297
1318.359375	-29.401210
1328.125000	-29.860116
1337.890625	-30.448426
1347.656250	-30.749508
1357.421875	-32.173082
1367.187500	-31.368737
1376.953125	-30.823829
1386.718750	-30.237974
1396.484375	-31.184185
1406.250000	-32.413155
1416.015625	-30.992411
1425.781250	-30.410784
1435.546875	-31.041282
1445.312500	-31.734483
1455.078125	-31.243716
1464.843750	-30.300286
1474.609375	-29.916193
1484.375000	-30.621562
1494.140625	-31.475593
1503.906250	-31.763411
1513.671875	-30.772849
1523.437500	-32.644050
1533.203125	-31.866753
1542.968750	-30.501621
1552.734375	-31.095845
1562.500000	-31.422848
1572.265625	-31.223796
1582.031250	-30.865690
1591.796875	-30.892347
1601.562500	-31.149492
1611.328125	-31.627572
1621.093750	-31.645866
1630.859375	-31.134320
1640.625000	-32.493900
1650.390625	-31.457548
1660.156250	-31.444267
1669.921875	-32.039480
1679.687500	-32.744731
1689.453125	-31.449555
1699.218750	-31.295687
1708.984375	-31.586787
1718.750000	-31.793006
1728.515625	-31.431430
1738.281250	-30.665323
1748.046875	-31.250978
1757.812500	-31.955853
1767.578125	-33.583589
1777.343750	-31.250381
1787.109375	-31.925765
1796.875000	-32.963019
1806.640625	-31.479342
1816.406250	-31.518005
1826.171875	-32.627884
1835.937500	-32.171381
1845.703125	-31.842619
1855.468750	-31.339984
1865.234375	-32.813233
1875.000000	-32.756929
1884.765625	-31.532609
1894.531250	-31.957117
1904.296875	-33.216235
1914.062500	-31.643327
1923.828125	-31.613051
1933.593750	-31.708405
1943.359375	-32.345210
1953.125000	-32.450791
1962.890625	-32.011426
1972.656250	-32.157952
1982.421875	-33.912400
1992.187500	-32.183130
2001.953125	-31.727307
