NNN,Date,St,R,Mo,Es,FileName
6,20190706,T02,82.3657175915921,648175.831522049,0.00769834285061486,20190706_T02_N_06.mat
7,20190706,T02,79.7028456937196,477145.22119964,0.00628587780128104,20190706_T02_N_07.mat
8,20190706,T02,66.0764820747575,985732.212757592,0.0298735294025202,20190706_T02_N_08.mat
9,20190706,T02,77.2531897636387,495187.522881219,0.0151604980865959,20190706_T02_N_09.mat
10,20190706,T02,96.6688847505634,1027340.32321203,0.093947536930558,20190706_T02_N_10.mat
11,20190706,T02,194.603692995939,793377.190328987,0.0900145221567136,20190706_T02_N_11.mat
12,20190706,T02,140.383497956345,407099.552507257,0.044029145634414,20190706_T02_N_12.mat
13,20190706,T02,123.409012901449,1144049.5902386,0.0667392821834885,20190706_T02_N_13.mat
14,20190706,T02,46.8391501072568,373355.150518014,0.031711874627739,20190706_T02_N_14.mat
15,20190706,T02,97.7542694496622,346163.625820248,0.0115850341397861,20190706_T02_N_15.mat
16,20190706,T02,64.4016792703042,139725.435615628,0.0135651806238521,20190706_T02_N_16.mat
17,20190706,T02,289.472287056013,1060022.71082022,0.0380150888181164,20190706_T02_N_17.mat
18,20190706,T02,72.7752449989997,251146.47843254,0.00492530244312048,20190706_T02_N_18.mat
19,20190706,T02,133.001289959143,554407.070153535,0.0355081808648051,20190706_T02_N_19.mat
20,20190706,T02,85.4613544793983,2075693.89455175,0.049750650957191,20190706_T02_N_20.mat
21,20190706,T02,104.748087006731,3685618.77767984,0.243644591477305,20190706_T02_N_21.mat
22,20190706,T02,89.1859240895396,238256.248215667,0.0186730233739593,20190706_T02_N_22.mat
23,20190706,T02,94.4052614268545,328839.835045743,0.0087798278469919,20190706_T02_N_23.mat
24,20190706,T02,96.8936638895736,423279.828624674,0.0155358176725693,20190706_T02_N_24.mat
25,20190706,T02,108.926186162413,483137.715357711,0.0363037175573314,20190706_T02_N_25.mat
26,20190706,T02,140.360650445151,537584.00992923,0.0191302694977935,20190706_T02_N_26.mat
27,20190706,T02,60.9949169862026,175063.804822421,0.00294057028241169,20190706_T02_N_27.mat
28,20190706,T02,67.8083177812023,189705.287456075,0.00172286216130725,20190706_T02_N_28.mat
29,20190706,T02,124.380148443577,3091278.10448787,0.191206476283521,20190706_T02_N_29.mat
30,20190706,T02,110.14488102323,307057.991183705,0.0205141727282816,20190706_T02_N_30.mat
31,20190706,T02,108.784483766057,826766.75041311,0.0331984548667733,20190706_T02_N_31.mat
32,20190706,T02,436.342431966016,2429938.04385545,0.49416148184358,20190706_T02_N_32.mat
33,20190706,T02,55.8712446961076,300314.341444052,0.00585335449689197,20190706_T02_N_33.mat
34,20190706,T02,123.741510286655,359819.833974914,0.00945656436654004,20190706_T02_N_34.mat
35,20190706,T02,45.1602613353812,2294346.06197602,0.0240512946251175,20190706_T02_N_35.mat
36,20190706,T02,105.960956312601,1682286.54129749,0.0453768464805082,20190706_T02_N_36.mat
37,20190706,T02,111.563144797148,467594.525122631,0.0402396107225574,20190706_T02_N_37.mat
38,20190706,T02,159.495679485731,164729.513176692,0.0505743189706762,20190706_T02_N_38.mat
39,20190706,T02,64.4548574290797,782210.364433332,0.0817936497973709,20190706_T02_N_39.mat
40,20190706,T02,69.0556652521749,228040.763189805,0.00672165615141172,20190706_T02_N_40.mat
41,20190706,T02,108.186816215035,617195.276984274,0.0617765594163545,20190706_T02_N_41.mat
42,20190706,T02,87.2169040639378,704582.540355303,0.023799721238308,20190706_T02_N_42.mat
43,20190706,T02,155.298290414213,1004418.04502258,0.0751949412324565,20190706_T02_N_43.mat
44,20190706,T02,96.2458313445432,571381.016041229,0.0187881339675016,20190706_T02_N_44.mat
45,20190706,T02,130.591102116162,385595.926914961,0.09682769012385,20190706_T02_N_45.mat
46,20190706,T02,155.657626111158,652100.08869344,0.0810263071337679,20190706_T02_N_46.mat
47,20190706,T02,148.507525630283,375054.541805202,0.0205472353608477,20190706_T02_N_47.mat
48,20190706,T02,104.948865961306,301912.315272428,0.050619663124543,20190706_T02_N_48.mat
49,20190706,T02,91.1197519190947,228045.213866766,0.0155560884882801,20190706_T02_N_49.mat
50,20190706,T02,222.227102792491,858811.864705776,0.0319011526901805,20190706_T02_N_50.mat
51,20190706,T02,110.862046864129,731153.578912399,0.0594826064685135,20190706_T02_N_51.mat
52,20190706,T02,70.286287351916,238770.657241115,0.00355669572422889,20190706_T02_N_52.mat
53,20190706,T02,249.303157916454,966993.729323114,0.151334587242595,20190706_T02_N_53.mat
54,20190706,T02,89.230159510122,799770.282046643,0.0534163793404922,20190706_T02_N_54.mat
55,20190706,T02,89.7781733811974,388254.525673107,0.00678817106091973,20190706_T02_N_55.mat
56,20190706,T02,132.29063184993,3171528.39367136,0.569109557337527,20190706_T02_N_56.mat
57,20190706,T02,149.783153753344,610429.066402791,0.0298070797438114,20190706_T02_N_57.mat
58,20190706,T02,173.901587032195,654920.443694466,0.0460685393475349,20190706_T02_N_58.mat
59,20190706,T02,200.519013857305,763147.184172412,0.0569609663962834,20190706_T02_N_59.mat
60,20190706,T02,95.3013273331197,1258503.24111135,0.120467078084638,20190706_T02_N_60.mat
61,20190706,T02,114.298431586231,408474.007393501,0.0209728307429982,20190706_T02_N_61.mat
62,20190706,T02,84.4303954245205,171800.318914596,0.00370290148212983,20190706_T02_N_62.mat
63,20190706,T02,96.5146682052377,286553.522184779,0.0129106238527577,20190706_T02_N_63.mat
64,20190706,T02,71.3068892052991,150691.152463321,0.00105204081972617,20190706_T02_N_64.mat
65,20190706,T02,65.5576562482043,98816.4501683743,0.00286155065827831,20190706_T02_N_65.mat
66,20190706,T02,70.8190665249662,202457.223998731,0.00338802834179075,20190706_T02_N_66.mat
67,20190706,T02,102.629089268678,495128.188359622,0.0283146004691378,20190706_T02_N_67.mat
68,20190706,T02,68.7229966354076,157623.587791143,0.00225435323576711,20190706_T02_N_68.mat
69,20190706,T02,126.626119763252,337006.002144232,0.0123826865797802,20190706_T02_N_69.mat
70,20190706,T02,81.3682471134318,570780.650745838,0.0238284271426876,20190706_T02_N_70.mat
71,20190706,T02,90.7281799454117,331495.298524628,0.0113433941964324,20190706_T02_N_71.mat
72,20190706,T02,62.3370324775758,174077.186994294,0.00332644061732129,20190706_T02_N_72.mat
73,20190706,T02,84.400643704904,769046.45320746,0.0493529499651276,20190706_T02_N_73.mat
74,20190706,T02,99.9139640170201,313893.548815828,0.0114819307860681,20190706_T02_N_74.mat
75,20190706,T02,72.86240441322,231292.444281612,0.00723352152127808,20190706_T02_N_75.mat
76,20190706,T02,153.459537599857,2174398.26543594,0.627879610877772,20190706_T02_N_76.mat
77,20190706,T02,183.649891257647,966055.603449412,0.153160293802154,20190706_T02_N_77.mat
78,20190706,T02,89.8086434208807,497836.634876177,0.0666773096690133,20190706_T02_N_78.mat
79,20190706,T02,96.5104597590284,580943.565128806,0.101139116447923,20190706_T02_N_79.mat
80,20190706,T02,98.8505112880839,296311.176702972,0.0146701101877216,20190706_T02_N_80.mat
81,20190706,T02,94.2644104642097,358989.403407026,0.0128354399216658,20190706_T02_N_81.mat
82,20190706,T02,68.1858550064624,166547.620050263,0.00535522763951837,20190706_T02_N_82.mat
83,20190706,T02,65.906593131124,281572.506631796,0.00731867960639907,20190706_T02_N_83.mat
84,20190706,T02,125.690628532248,535904.830181129,0.0316781129174211,20190706_T02_N_84.mat
85,20190706,T02,71.1093464905381,259121.719988185,0.0184869080748387,20190706_T02_N_85.mat
86,20190706,T02,110.14488102323,337009.206815779,0.0198814257060705,20190706_T02_N_86.mat
87,20190706,T02,102.072471179488,435918.022658063,0.037609286154889,20190706_T02_N_87.mat
88,20190706,T02,263.158459196573,1230460.28061554,0.264222469287034,20190706_T02_N_88.mat
89,20190706,T02,80.565997784096,146098.305866246,0.00523068962800691,20190706_T02_N_89.mat
90,20190706,T02,67.3130559298677,285888.518687564,0.0184251797738447,20190706_T02_N_90.mat
91,20190706,T02,66.3666055494523,619928.647087455,0.0094041079916498,20190706_T02_N_91.mat
92,20190706,T02,95.7525750675304,883583.285439513,0.0600253389495481,20190706_T02_N_92.mat
93,20190706,T02,109.112785786379,4080581.58431384,0.404374272431413,20190706_T02_N_93.mat
94,20190706,T02,113.804513340478,88693.4911373791,0.0179306818347413,20190706_T02_N_94.mat
1,20190706,T03,105.637346160016,7696497.59333281,0.63350069266417,20190706_T03_N_01.mat
2,20190706,T03,74.260416564592,4958873.19966424,0.247066220113799,20190706_T03_N_02.mat
3,20190706,T03,139.325456578237,4550722.30702205,0.577176524998789,20190706_T03_N_03.mat
4,20190706,T03,67.5675606710809,4287852.67658959,1.9604137333032,20190706_T03_N_04.mat
5,20190706,T03,61.5922763802218,804521.530167979,0.0547888761715787,20190706_T03_N_05.mat
6,20190706,T03,59.2937801373627,498206.080749265,0.0245480431280886,20190706_T03_N_06.mat
7,20190706,T03,49.9806673792666,585586.037574882,0.0267649601854375,20190706_T03_N_07.mat
8,20190706,T03,67.8616434612053,2035098.26092455,0.181344329999541,20190706_T03_N_08.mat
9,20190706,T03,54.2043662490097,1397297.95836969,0.187884237382354,20190706_T03_N_09.mat
10,20190706,T03,92.6411278694172,2689479.42897197,1.03867526708948,20190706_T03_N_10.mat
11,20190706,T03,173.907486565868,1942882.0857183,0.358391703996335,20190706_T03_N_11.mat
12,20190706,T03,121.174238906869,1105529.96428591,0.198068983443397,20190706_T03_N_12.mat
13,20190706,T03,105.459818822668,3876988.92666394,1.60724854209953,20190706_T03_N_13.mat
14,20190706,T03,45.6819587138089,950939.350801994,0.104671161905909,20190706_T03_N_14.mat
15,20190706,T03,92.0901805386283,752192.692496736,0.0570868252297681,20190706_T03_N_15.mat
16,20190706,T03,64.4016791128549,239895.548604674,0.0145547029682532,20190706_T03_N_16.mat
17,20190706,T03,269.557496589204,2014157.92813998,0.332152884559195,20190706_T03_N_17.mat
18,20190706,T03,66.8072979985302,436129.081978151,0.0297054488598065,20190706_T03_N_18.mat
19,20190706,T03,116.984252110256,1829577.1065531,0.435773363273846,20190706_T03_N_19.mat
20,20190706,T03,75.5189992680873,4201390.2090112,0.506898790741929,20190706_T03_N_20.mat
21,20190706,T03,92.9025775475024,7604727.80903474,1.40934012848748,20190706_T03_N_21.mat
22,20190706,T03,86.6017230977832,721626.458493169,0.0848380257965771,20190706_T03_N_22.mat
23,20190706,T03,81.9849524771024,676945.967873111,0.0661206036879608,20190706_T03_N_23.mat
24,20190706,T03,90.1263208410599,994533.435662435,0.108462001400418,20190706_T03_N_24.mat
25,20190706,T03,89.2955869216877,1295213.78259587,0.219556473989125,20190706_T03_N_25.mat
26,20190706,T03,130.217364715256,1312300.3154254,0.153127526944168,20190706_T03_N_26.mat
27,20190706,T03,55.2237432359827,439242.760281987,0.0175313828352301,20190706_T03_N_27.mat
28,20190706,T03,47.9640481602264,351155.721339864,0.0178948481835322,20190706_T03_N_28.mat
29,20190706,T03,176.457115305853,5026892.09516184,0.869817407901081,20190706_T03_N_29.mat
30,20190706,T03,93.4367591348372,783428.670175931,0.089088856510509,20190706_T03_N_30.mat
31,20190706,T03,96.2261720024631,2036186.63369885,0.402634210275123,20190706_T03_N_31.mat
32,20190706,T03,395.386997752856,7632154.30651467,2.98515739612926,20190706_T03_N_32.mat
33,20190706,T03,43.0579088313904,671545.219131554,0.0363967450408602,20190706_T03_N_33.mat
34,20190706,T03,104.789922188263,710856.36382492,0.0689947669755457,20190706_T03_N_34.mat
35,20190706,T03,24.1973786117407,7917293.1792726,0.345332617128288,20190706_T03_N_35.mat
36,20190706,T03,88.960324564836,3023412.09248965,0.306140264426413,20190706_T03_N_36.mat
37,20190706,T03,90.0156292941915,2944358.92255134,1.46130836566175,20190706_T03_N_37.mat
38,20190706,T03,144.737226351119,1164484.17115149,0.236664533057659,20190706_T03_N_38.mat
39,20190706,T03,54.9891209218968,2029906.48248091,0.290645245698885,20190706_T03_N_39.mat
40,20190706,T03,53.5266602546847,559846.064757393,0.0285540847433517,20190706_T03_N_40.mat
41,20190706,T03,102.096768193444,1042519.52054706,0.143403401588314,20190706_T03_N_41.mat
42,20190706,T03,65.5996406765931,2374672.07568815,0.569838729275757,20190706_T03_N_42.mat
43,20190706,T03,136.122495132793,1954621.04348717,0.353164304448912,20190706_T03_N_43.mat
44,20190706,T03,77.030138558893,1340067.19982946,0.194480844376007,20190706_T03_N_44.mat
45,20190706,T03,115.802582865469,1166902.71507911,0.293066733592055,20190706_T03_N_45.mat
46,20190706,T03,135.632656342642,2017565.05012239,0.370644180035188,20190706_T03_N_46.mat
47,20190706,T03,124.923469357159,746107.118636394,0.111256126613761,20190706_T03_N_47.mat
48,20190706,T03,89.4162167079564,846771.648048212,0.125251703868355,20190706_T03_N_48.mat
49,20190706,T03,75.7334995942837,494949.305254499,0.0503263265629382,20190706_T03_N_49.mat
50,20190706,T03,202.061017941473,1957932.08608337,0.409435169082347,20190706_T03_N_50.mat
51,20190706,T03,98.4530606761632,1510883.99971676,0.219581673553421,20190706_T03_N_51.mat
52,20190706,T03,42.4058348946948,487520.515805288,0.0265245464512383,20190706_T03_N_52.mat
53,20190706,T03,231.819003468474,2042222.61933563,0.519227921906332,20190706_T03_N_53.mat
54,20190706,T03,71.822199420526,2088544.61618525,0.434832834265272,20190706_T03_N_54.mat
55,20190706,T03,76.487177349307,566081.113195723,0.05337587419313,20190706_T03_N_55.mat
56,20190706,T03,110.37617898466,8074661.20800869,9.53019463114336,20190706_T03_N_56.mat
57,20190706,T03,128.966524245239,1255515.11402117,0.274106491683432,20190706_T03_N_57.mat
58,20190706,T03,158.595189091965,2051517.61612456,0.333776982332691,20190706_T03_N_58.mat
59,20190706,T03,178.753042296645,1402842.0986066,0.372633845379743,20190706_T03_N_59.mat
60,20190706,T03,76.8844669881663,3737690.14157392,2.27196420795018,20190706_T03_N_60.mat
61,20190706,T03,93.5012994298603,1044774.23273407,0.124080406423394,20190706_T03_N_61.mat
62,20190706,T03,55.7765834982825,415019.962792091,0.0308350283614843,20190706_T03_N_62.mat
63,20190706,T03,84.4666674598159,876350.107539313,0.0726743992444438,20190706_T03_N_63.mat
64,20190706,T03,52.5929837329734,295449.39919007,0.0132184644791881,20190706_T03_N_64.mat
65,20190706,T03,45.338402179143,320877.972100101,0.0126289677344575,20190706_T03_N_65.mat
66,20190706,T03,53.6448074119722,624754.027683291,0.0316142436116673,20190706_T03_N_66.mat
67,20190706,T03,87.7606726302748,1766599.42176707,0.232451584287528,20190706_T03_N_67.mat
68,20190706,T03,43.0302471681287,457620.569048238,0.0150360887024541,20190706_T03_N_68.mat
69,20190706,T03,114.022849434214,833935.051331646,0.102968803052498,20190706_T03_N_69.mat
70,20190706,T03,65.0549584437074,1703441.84870069,0.529442195420059,20190706_T03_N_70.mat
71,20190706,T03,69.2470968200618,890287.212726104,0.136891875337545,20190706_T03_N_71.mat
72,20190706,T03,47.7934516162031,429775.708096683,0.0202587968324602,20190706_T03_N_72.mat
73,20190706,T03,72.8479307050115,1636849.5162913,0.295650490349001,20190706_T03_N_73.mat
74,20190706,T03,79.5660041952239,944913.480773599,0.152630342686887,20190706_T03_N_74.mat
75,20190706,T03,56.9197917413234,659959.813614817,0.0494596554305935,20190706_T03_N_75.mat
76,20190706,T03,137.186988696312,7777377.07734308,8.43166514804405,20190706_T03_N_76.mat
77,20190706,T03,164.372044262233,2533610.19023536,0.553326733775338,20190706_T03_N_77.mat
78,20190706,T03,67.9475111030485,1235054.53342308,0.45341338731951,20190706_T03_N_78.mat
79,20190706,T03,75.6817199546829,2230002.32582708,1.48930400577123,20190706_T03_N_79.mat
80,20190706,T03,76.8057648338691,821313.239179895,0.0990569649196154,20190706_T03_N_80.mat
81,20190706,T03,86.9328823596975,967870.677646437,0.0914533081568646,20190706_T03_N_81.mat
82,20190706,T03,46.0702525537066,410155.935881598,0.0375169226400108,20190706_T03_N_82.mat
83,20190706,T03,54.2374032323776,846486.656074501,0.0642797933377794,20190706_T03_N_83.mat
84,20190706,T03,106.763844515977,1511715.41599639,0.341735485542883,20190706_T03_N_84.mat
85,20190706,T03,46.2786910673953,720610.101470076,0.128494140327434,20190706_T03_N_85.mat
86,20190706,T03,93.4367591348372,754207.478067744,0.128593672653029,20190706_T03_N_86.mat
87,20190706,T03,84.4200271410015,1253721.37636972,0.176669721240885,20190706_T03_N_87.mat
88,20190706,T03,245.505606165551,3316055.13034203,1.60051001481774,20190706_T03_N_88.mat
89,20190706,T03,60.9303089582431,395028.003994826,0.0337643088187389,20190706_T03_N_89.mat
90,20190706,T03,47.1662435563561,553297.892703932,0.0447886962495975,20190706_T03_N_90.mat
91,20190706,T03,47.0153275364173,1268217.63150003,0.056434326427071,20190706_T03_N_91.mat
92,20190706,T03,80.254267992818,2022739.85810059,0.508147001242799,20190706_T03_N_92.mat
93,20190706,T03,97.1609000229215,10493509.9129962,4.61670708919205,20190706_T03_N_93.mat
94,20190706,T03,95.3326946228997,684530.626880494,0.061651270044601,20190706_T03_N_94.mat
